EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,5,5,5,4,7,7,8,3,11,furby; kirjanik; urmas; lavastus; olme; vadi; sotsiaalmeedia; võõras; raamat
7,5,5,5,4,7,7,7,3,11,furby; kirjanik; urmas; lavastus; olme; vadi; sotsiaalmeedia; võõras; raamat
7,5,6,5,4,7,7,7,3,11,furby; kirjanik; urmas; lavastus; olme; vadi; sotsiaalmeedia; võõras; raamat
7,5,6,6,4,7,8,8,3,11,furby; kirjanik; urmas; lavastus; olme; vadi; sotsiaalmeedia; võõras; raamat
8,4,7,7,4,6,7,8,3,11,furby; kirjanik; urmas; lavastus; olme; vadi; sotsiaalmeedia; võõras; raamat
8,4,8,6,4,7,8,7,4,11,furby; kirjanik; urmas; lavastus; olme; vadi; sotsiaalmeedia; võõras; raamat
4,4,7,6,4,8,6,8,4,11,furby; kirjanik; urmas; lavastus; olme; vadi; sotsiaalmeedia; võõras; raamat
4,5,6,6,4,7,4,7,4,11,furby; kirjanik; urmas; lavastus; olme; vadi; sotsiaalmeedia; võõras; raamat
2,5,7,8,4,6,3,6,5,11,furby; kirjanik; urmas; lavastus; olme; vadi; sotsiaalmeedia; võõras; raamat
3,4,6,7,4,5,3,6,5,11,furby; kirjanik; urmas; lavastus; olme; vadi; sotsiaalmeedia; võõras; raamat
3,5,7,6,3,5,3,6,5,11,furby; kirjanik; urmas; lavastus; olme; vadi; sotsiaalmeedia; võõras; raamat
