EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,4,4,1,1,3,2,4,3,11,estonia; teater; näitleja; kuuskemaa; perekond
4,4,4,1,1,3,2,4,3,11,estonia; teater; näitleja; kuuskemaa; perekond
4,4,4,1,1,3,3,4,3,11,estonia; teater; näitleja; kuuskemaa; perekond
3,3,3,1,1,2,3,4,3,11,estonia; teater; näitleja; kuuskemaa; perekond
3,2,3,1,1,3,2,4,3,11,estonia; teater; näitleja; kuuskemaa; perekond
4,1,2,2,1,1,2,3,3,11,kuuskemaa; perekond; estonia; teater; näitleja
3,2,2,2,1,4,3,4,2,11,estonia; teater; näitleja; kuuskemaa; perekond
3,2,1,2,1,3,3,4,1,11,kuuskemaa; perekond; estonia; teater; näitleja
2,2,1,2,3,2,2,4,2,11,kuuskemaa; perekond; estonia; teater; näitleja
2,2,2,2,3,2,2,3,2,11,kuuskemaa; perekond; estonia; teater; näitleja
2,2,2,2,3,2,2,3,2,11,kuuskemaa; perekond; estonia; teater; näitleja
