EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,5,5,2,0,1,1,6,2,12,füüsika; naan; hüpotees; akadeemia; lapsepõlv; sõda; teaduste; gustav; elustrateegia
6,5,5,3,0,2,1,6,2,12,füüsika; naan; hüpotees; akadeemia; lapsepõlv; sõda; teaduste; gustav; elustrateegia
6,5,5,3,0,2,1,6,2,12,füüsika; naan; hüpotees; akadeemia; lapsepõlv; sõda; teaduste; gustav; elustrateegia
6,5,6,3,0,2,0,6,2,12,füüsika; naan; hüpotees; akadeemia; lapsepõlv; sõda; teaduste; gustav; elustrateegia
5,4,6,3,0,5,4,6,2,12,füüsika; naan; hüpotees; akadeemia; lapsepõlv; sõda; teaduste; gustav; elustrateegia
5,4,3,4,2,4,5,7,2,12,füüsika; akadeemia; hüpotees; naan; lapsepõlv; teaduste; sõda; gustav; elustrateegia
2,5,3,6,3,4,3,5,2,12,füüsika; naan; hüpotees; akadeemia; lapsepõlv; teaduste; sõda; gustav; elustrateegia
4,5,3,6,3,5,1,6,2,12,füüsika; akadeemia; naan; hüpotees; lapsepõlv; teaduste; sõda; gustav; elustrateegia
3,4,4,3,3,3,2,7,3,12,füüsika; naan; akadeemia; hüpotees; lapsepõlv; teaduste; sõda; gustav; elustrateegia
2,5,3,3,3,4,3,5,3,12,füüsika; naan; akadeemia; hüpotees; lapsepõlv; teaduste; sõda; gustav; elustrateegia
2,5,3,2,3,4,4,4,3,12,füüsika; naan; akadeemia; hüpotees; lapsepõlv; teaduste; sõda; gustav; elustrateegia
