EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,8,7,7,6,5,7,8,6,12,nukuteater; buratino; eero; hääl; ferdinand; raadio; kultuuriminister; sepling
8,8,7,7,6,5,8,8,6,12,nukuteater; buratino; eero; hääl; ferdinand; raadio; kultuuriminister; sepling
8,8,6,7,6,6,7,8,6,12,nukuteater; buratino; eero; hääl; ferdinand; raadio; kultuuriminister; sepling
7,8,6,7,6,6,8,8,6,12,nukuteater; buratino; eero; hääl; ferdinand; raadio; kultuuriminister; sepling
6,8,6,7,6,6,8,8,6,12,nukuteater; buratino; eero; ferdinand; hääl; raadio; kultuuriminister; sepling
7,8,7,8,6,6,8,8,6,12,nukuteater; buratino; eero; ferdinand; hääl; raadio; kultuuriminister; sepling
7,8,7,8,6,5,7,7,6,12,nukuteater; buratino; eero; ferdinand; hääl; raadio; kultuuriminister; sepling
7,8,7,7,6,7,8,5,6,12,nukuteater; buratino; eero; ferdinand; hääl; raadio; kultuuriminister; sepling
6,8,7,7,7,5,7,7,5,12,nukuteater; buratino; eero; ferdinand; hääl; raadio; kultuuriminister; sepling
6,7,6,6,8,5,8,5,5,12,nukuteater; buratino; eero; ferdinand; hääl; raadio; kultuuriminister; sepling
7,7,6,6,6,6,8,5,6,12,nukuteater; buratino; eero; ferdinand; hääl; raadio; kultuuriminister; sepling
