EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,2,0,3,4,3,3,5,4,10,leningrad; mälestus; lend; sõda; volga
4,2,0,3,3,3,3,5,4,10,leningrad; mälestus; lend; sõda; volga
5,2,1,4,3,3,3,5,4,10,leningrad; mälestus; lend; sõda; volga
5,2,2,4,3,3,3,4,4,10,leningrad; mälestus; lend; sõda; volga
5,2,3,4,3,4,2,5,4,10,leningrad; mälestus; lend; sõda; volga
4,1,4,4,3,4,2,4,4,10,leningrad; lend; mälestus; sõda; volga
3,2,4,4,3,4,3,3,4,10,lend; leningrad; mälestus; sõda; volga
2,2,4,4,3,3,4,4,5,10,lend; leningrad; mälestus; sõda; volga
1,2,3,3,4,3,4,2,5,10,lend; leningrad; mälestus; sõda; volga
2,4,4,4,4,3,4,1,5,10,lend; mälestus; leningrad; sõda; volga
2,3,2,4,4,2,4,1,5,10,mälestus; lend; leningrad; sõda; volga
