EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,11,5,9,8,7,7,7,7,12,soomaa; tänutunne; vaike; mait; tantsupidu; hing; isetegemine; metsamaa; heinamaa; rajaste; agu
10,11,6,9,8,7,7,8,7,12,soomaa; tänutunne; vaike; mait; tantsupidu; hing; isetegemine; metsamaa; heinamaa; rajaste; agu
11,11,7,9,8,7,7,8,7,12,soomaa; tänutunne; vaike; mait; tantsupidu; hing; isetegemine; metsamaa; heinamaa; rajaste; agu
11,11,6,9,8,8,7,9,7,12,soomaa; tänutunne; vaike; mait; tantsupidu; hing; isetegemine; metsamaa; heinamaa; rajaste; agu
11,11,7,10,8,9,7,9,7,12,soomaa; tänutunne; vaike; mait; tantsupidu; hing; isetegemine; metsamaa; heinamaa; rajaste; agu
11,11,9,10,8,9,9,8,7,12,soomaa; tänutunne; vaike; mait; tantsupidu; hing; isetegemine; metsamaa; heinamaa; rajaste; agu
11,10,11,11,10,11,9,9,7,12,tänutunne; soomaa; vaike; mait; tantsupidu; hing; isetegemine; rajaste; heinamaa; metsamaa; agu
11,10,11,11,11,9,10,10,10,12,tänutunne; soomaa; vaike; heinamaa; mait; tantsupidu; hing; isetegemine; metsamaa; agu; rajaste
11,9,11,11,11,11,10,10,11,12,tänutunne; soomaa; vaike; mait; tantsupidu; hing; isetegemine; metsamaa; heinamaa; rajaste; agu
11,9,11,11,11,9,10,10,11,12,tänutunne; soomaa; vaike; mait; tantsupidu; hing; isetegemine; metsamaa; heinamaa; rajaste; agu
11,9,11,11,11,10,11,10,11,12,tänutunne; soomaa; vaike; mait; tantsupidu; hing; isetegemine; metsamaa; heinamaa; rajaste; agu
