EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,4,3,3,5,4,5,4,3,12,indoeuroopa; eesti; süsteem; kõnekeel; isereguleeruv; keel; alaväärsustunne; hägusus
8,4,3,3,5,4,5,4,3,12,indoeuroopa; eesti; süsteem; kõnekeel; isereguleeruv; keel; alaväärsustunne; hägusus
8,5,3,3,5,4,5,4,3,12,indoeuroopa; eesti; süsteem; kõnekeel; isereguleeruv; keel; alaväärsustunne; hägusus
8,6,3,3,5,4,5,4,3,12,indoeuroopa; eesti; süsteem; kõnekeel; isereguleeruv; keel; alaväärsustunne; hägusus
8,6,4,4,5,5,5,6,3,12,indoeuroopa; eesti; süsteem; kõnekeel; isereguleeruv; keel; alaväärsustunne; hägusus
8,6,6,4,5,4,4,6,3,12,indoeuroopa; eesti; süsteem; kõnekeel; isereguleeruv; keel; alaväärsustunne; hägusus
3,5,5,4,5,7,5,6,2,12,indoeuroopa; eesti; süsteem; kõnekeel; isereguleeruv; keel; alaväärsustunne; hägusus
4,5,6,2,5,5,5,6,2,12,indoeuroopa; eesti; süsteem; kõnekeel; isereguleeruv; keel; alaväärsustunne; hägusus
3,5,7,2,5,7,6,7,2,12,indoeuroopa; eesti; süsteem; kõnekeel; isereguleeruv; keel; alaväärsustunne; hägusus
3,4,8,4,6,5,4,7,3,12,indoeuroopa; eesti; süsteem; kõnekeel; isereguleeruv; keel; alaväärsustunne; hägusus
4,5,7,4,5,6,4,6,2,12,indoeuroopa; eesti; süsteem; kõnekeel; isereguleeruv; keel; alaväärsustunne; hägusus
