EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,7,7,7,4,6,6,6,6,12,baltika; kunila; enn; gazprom; klaasikunstnik; rahulolu; kultuurisõber; liit; kreeka; euroopa
7,7,7,7,4,6,6,7,6,12,baltika; kunila; enn; gazprom; klaasikunstnik; rahulolu; kultuurisõber; liit; kreeka; euroopa
7,7,7,8,4,7,7,8,6,12,baltika; kunila; enn; gazprom; klaasikunstnik; rahulolu; kultuurisõber; liit; kreeka; euroopa
7,7,7,8,4,8,7,8,6,12,baltika; kunila; enn; gazprom; klaasikunstnik; rahulolu; kultuurisõber; liit; kreeka; euroopa
7,8,9,9,3,7,8,7,6,12,kunila; kreeka; baltika; enn; gazprom; klaasikunstnik; rahulolu; kultuurisõber; liit; euroopa
9,7,8,8,3,6,8,8,6,12,baltika; kunila; enn; gazprom; klaasikunstnik; rahulolu; kultuurisõber; liit; kreeka; euroopa
5,8,7,7,4,8,7,8,5,12,baltika; kunila; enn; gazprom; klaasikunstnik; rahulolu; kultuurisõber; liit; kreeka; euroopa
8,6,7,7,5,8,8,8,4,12,baltika; kunila; enn; gazprom; klaasikunstnik; rahulolu; kultuurisõber; liit; kreeka; euroopa
8,7,7,7,6,8,8,9,6,12,kunila; kreeka; baltika; enn; gazprom; klaasikunstnik; rahulolu; kultuurisõber; liit; euroopa
9,7,7,6,7,7,7,4,5,12,baltika; kunila; enn; gazprom; klaasikunstnik; rahulolu; kultuurisõber; liit; kreeka; euroopa
9,7,6,7,7,5,8,4,8,12,baltika; kunila; enn; gazprom; klaasikunstnik; rahulolu; kultuurisõber; liit; kreeka; euroopa
