EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,5,8,9,8,9,9,9,7,10,tähendus; sport; jalgpall; elukutse; äri; ameerika; euroopa; võitlus; meedia
9,5,8,9,8,9,9,9,7,10,tähendus; sport; jalgpall; elukutse; äri; ameerika; euroopa; võitlus; meedia
8,5,8,9,8,9,9,9,7,10,tähendus; sport; jalgpall; elukutse; äri; ameerika; euroopa; võitlus; meedia
9,6,9,9,8,9,9,9,7,10,tähendus; sport; jalgpall; elukutse; äri; ameerika; euroopa; võitlus; meedia
9,5,9,9,8,9,9,9,7,10,tähendus; sport; jalgpall; elukutse; äri; ameerika; euroopa; võitlus; meedia
9,6,9,8,8,9,9,9,7,10,tähendus; sport; jalgpall; elukutse; äri; ameerika; euroopa; võitlus; meedia
8,6,9,8,9,9,9,8,7,10,tähendus; elukutse; jalgpall; sport; äri; ameerika; euroopa; võitlus; meedia
8,6,8,8,9,9,9,8,8,10,tähendus; elukutse; jalgpall; sport; äri; ameerika; euroopa; võitlus; meedia
8,5,8,9,9,9,9,9,8,10,tähendus; elukutse; jalgpall; euroopa; äri; ameerika; sport; võitlus; meedia
8,6,9,9,9,9,9,8,7,10,tähendus; elukutse; jalgpall; euroopa; äri; ameerika; sport; võitlus; meedia
8,7,9,9,9,9,9,8,8,10,tähendus; elukutse; jalgpall; euroopa; äri; ameerika; sport; võitlus; meedia
