EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,8,9,6,5,6,5,6,0,14,lasteporno; vanglakaristus; kodaniku; pedofiilia; port; pakkuja; kristjan; internetiteenuse; tehnoloogia
8,8,9,6,6,6,5,6,0,14,lasteporno; vanglakaristus; kodaniku; pedofiilia; port; pakkuja; kristjan; internetiteenuse; tehnoloogia
8,8,9,6,6,7,4,6,0,14,lasteporno; vanglakaristus; kodaniku; pedofiilia; port; pakkuja; kristjan; internetiteenuse; tehnoloogia
8,9,8,6,6,7,4,6,0,14,lasteporno; vanglakaristus; kodaniku; pedofiilia; port; pakkuja; kristjan; internetiteenuse; tehnoloogia
7,9,8,6,5,7,7,6,0,14,vanglakaristus; pedofiilia; kodaniku; port; pakkuja; lasteporno; kristjan; internetiteenuse; tehnoloogia
7,9,9,6,5,7,6,5,0,14,vanglakaristus; pedofiilia; kodaniku; port; pakkuja; lasteporno; kristjan; internetiteenuse; tehnoloogia
7,9,9,5,6,7,6,5,0,14,vanglakaristus; pedofiilia; kodaniku; port; pakkuja; lasteporno; kristjan; internetiteenuse; tehnoloogia
7,9,6,7,9,6,7,5,0,14,vanglakaristus; pedofiilia; kodaniku; port; pakkuja; lasteporno; kristjan; internetiteenuse; tehnoloogia
7,8,7,8,9,6,7,6,0,14,lasteporno; vanglakaristus; pedofiilia; kodaniku; port; pakkuja; kristjan; internetiteenuse; tehnoloogia
7,7,6,8,9,6,8,6,0,14,lasteporno; vanglakaristus; pedofiilia; kodaniku; port; pakkuja; kristjan; internetiteenuse; tehnoloogia
6,6,5,8,8,6,8,6,0,14,lasteporno; vanglakaristus; pedofiilia; kodaniku; port; pakkuja; kristjan; internetiteenuse; tehnoloogia
