EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,4,6,5,4,6,7,4,3,12,kommunism; iroonia; unt; imelaps; kunstid; kirjandus; mati; klassik; kaunid; kirjutama
8,4,5,5,4,5,7,4,3,12,kommunism; iroonia; unt; imelaps; kunstid; kirjandus; mati; klassik; kaunid; kirjutama
8,4,6,5,4,7,8,5,3,12,kommunism; iroonia; unt; imelaps; kunstid; kirjandus; mati; klassik; kaunid; kirjutama
8,4,8,5,4,7,7,6,3,12,kommunism; iroonia; unt; imelaps; kunstid; kirjandus; mati; klassik; kaunid; kirjutama
8,4,7,4,3,8,8,6,3,12,kommunism; iroonia; unt; imelaps; kunstid; kirjandus; mati; klassik; kaunid; kirjutama
8,5,5,4,3,8,7,7,2,12,kommunism; iroonia; unt; imelaps; kunstid; kirjandus; mati; klassik; kaunid; kirjutama
8,5,5,3,3,9,7,6,2,12,imelaps; kirjandus; mati; klassik; kaunid; kommunism; iroonia; unt; kunstid; kirjutama
7,5,4,4,3,8,6,8,3,12,kommunism; iroonia; unt; imelaps; kunstid; kirjandus; mati; klassik; kaunid; kirjutama
5,5,4,4,4,8,6,6,4,12,kommunism; iroonia; unt; imelaps; kunstid; kirjandus; mati; klassik; kaunid; kirjutama
4,3,5,6,6,6,5,6,3,12,kommunism; iroonia; unt; imelaps; kunstid; kirjandus; mati; klassik; kaunid; kirjutama
4,5,4,4,6,7,5,6,3,12,kommunism; iroonia; imelaps; unt; kunstid; kirjandus; mati; klassik; kaunid; kirjutama
