EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,5,2,3,1,1,1,3,4,13,suvi; kamp; sõjalennuk; leho; kont; boriss
3,5,2,3,1,1,1,4,4,13,suvi; kamp; sõjalennuk; leho; kont; boriss
3,5,2,3,1,1,2,4,4,13,suvi; kamp; sõjalennuk; leho; kont; boriss
3,4,2,3,1,1,3,4,4,13,suvi; kamp; sõjalennuk; leho; kont; boriss
3,3,4,3,1,2,3,4,4,13,suvi; kamp; sõjalennuk; leho; kont; boriss
5,5,3,4,2,3,4,5,4,13,suvi; kamp; sõjalennuk; leho; kont; boriss
4,5,4,3,3,3,5,3,4,13,suvi; kamp; sõjalennuk; leho; kont; boriss
3,4,4,5,3,3,5,4,4,13,suvi; kamp; sõjalennuk; leho; kont; boriss
3,4,4,5,4,2,4,3,4,13,suvi; kamp; sõjalennuk; leho; kont; boriss
2,4,4,5,4,4,5,3,4,13,suvi; kamp; sõjalennuk; leho; kont; boriss
2,2,3,5,4,2,5,3,4,13,suvi; kamp; sõjalennuk; leho; kont; boriss
