EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,5,3,5,1,3,4,4,4,13,avo; sõidusoodustus; erakondade; tagatisraha; viisavaba
2,5,4,5,1,3,4,4,4,13,avo; sõidusoodustus; erakondade; tagatisraha; viisavaba
2,5,4,5,1,5,4,4,4,13,avo; sõidusoodustus; erakondade; tagatisraha; viisavaba
2,5,4,5,1,5,4,4,4,13,avo; sõidusoodustus; erakondade; tagatisraha; viisavaba
2,5,4,5,1,5,4,4,4,13,avo; sõidusoodustus; erakondade; tagatisraha; viisavaba
1,5,4,5,2,5,4,4,4,13,avo; sõidusoodustus; erakondade; tagatisraha; viisavaba
2,5,4,2,2,5,5,4,4,13,avo; sõidusoodustus; erakondade; tagatisraha; viisavaba
3,4,4,3,3,5,5,3,3,13,avo; sõidusoodustus; erakondade; tagatisraha; viisavaba
2,4,5,2,3,5,3,3,3,13,avo; sõidusoodustus; erakondade; tagatisraha; viisavaba
2,4,5,2,3,2,4,4,3,13,avo; sõidusoodustus; erakondade; tagatisraha; viisavaba
2,4,5,2,3,5,5,3,4,13,avo; sõidusoodustus; erakondade; tagatisraha; viisavaba
