EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,6,7,7,1,8,6,6,4,13,lauljatar; crossover; miami; emilio; grammy; stefan; kuuba; gloria
7,6,6,7,3,8,6,6,4,13,lauljatar; crossover; miami; emilio; grammy; stefan; kuuba; gloria
7,6,6,8,3,8,6,7,4,13,lauljatar; crossover; miami; emilio; grammy; stefan; kuuba; gloria
7,6,6,8,5,8,6,7,4,13,lauljatar; crossover; miami; emilio; grammy; stefan; kuuba; gloria
7,6,6,8,5,8,7,7,4,13,lauljatar; crossover; miami; emilio; grammy; stefan; kuuba; gloria
7,6,6,8,6,8,7,7,5,13,lauljatar; crossover; miami; emilio; grammy; stefan; kuuba; gloria
4,6,6,8,6,8,7,8,5,13,lauljatar; crossover; miami; emilio; grammy; stefan; kuuba; gloria
3,6,5,7,7,8,8,8,5,13,lauljatar; crossover; miami; emilio; grammy; stefan; kuuba; gloria
5,5,5,6,7,8,7,8,6,13,lauljatar; crossover; miami; emilio; grammy; stefan; kuuba; gloria
2,6,5,7,6,8,6,8,6,13,lauljatar; crossover; miami; emilio; grammy; stefan; kuuba; gloria
2,7,5,7,7,7,7,7,6,13,lauljatar; crossover; miami; emilio; grammy; stefan; kuuba; gloria
