EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,3,3,0,3,4,4,4,4,12,luuletaja; eesti; luule; mõistatus; antoloogia; tõlgendus
4,3,2,0,3,4,4,4,4,12,luuletaja; eesti; luule; mõistatus; antoloogia; tõlgendus
4,3,2,0,3,4,4,4,4,12,luuletaja; eesti; luule; mõistatus; antoloogia; tõlgendus
4,2,3,0,3,5,2,5,4,12,luuletaja; eesti; luule; mõistatus; antoloogia; tõlgendus
4,2,2,0,3,4,3,5,4,12,luuletaja; eesti; luule; mõistatus; antoloogia; tõlgendus
4,2,1,1,3,4,4,3,4,12,luuletaja; eesti; luule; mõistatus; antoloogia; tõlgendus
3,1,0,2,3,4,3,3,4,12,luuletaja; eesti; luule; mõistatus; antoloogia; tõlgendus
3,1,2,3,3,4,3,2,5,12,luuletaja; eesti; luule; mõistatus; antoloogia; tõlgendus
1,1,0,3,3,4,2,0,3,12,luuletaja; eesti; luule; mõistatus; antoloogia; tõlgendus
3,1,0,3,2,3,2,0,2,12,luuletaja; eesti; luule; mõistatus; antoloogia; tõlgendus
1,1,1,2,2,2,2,0,2,12,mõistatus; tõlgendus; luuletaja; eesti; luule; antoloogia
