EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,8,9,8,6,7,6,8,5,12,veetakistus; maailmameister; lauskmaa; jooksma; distants; strateegia; uusorg; margo; võistlus; naisekandmine; ulrich
8,8,10,8,6,6,6,8,5,12,veetakistus; maailmameister; lauskmaa; jooksma; distants; strateegia; uusorg; margo; võistlus; naisekandmine; ulrich
8,8,10,8,5,6,6,8,5,12,veetakistus; maailmameister; lauskmaa; jooksma; distants; strateegia; uusorg; margo; võistlus; naisekandmine; ulrich
8,8,9,8,6,6,7,8,5,12,veetakistus; maailmameister; lauskmaa; jooksma; distants; strateegia; uusorg; margo; võistlus; naisekandmine; ulrich
8,8,9,8,6,7,6,7,5,12,veetakistus; maailmameister; lauskmaa; jooksma; distants; strateegia; uusorg; margo; võistlus; naisekandmine; ulrich
8,8,6,6,5,6,7,8,5,12,veetakistus; maailmameister; lauskmaa; jooksma; distants; strateegia; uusorg; margo; võistlus; naisekandmine; ulrich
7,9,7,6,4,7,8,7,6,12,veetakistus; maailmameister; lauskmaa; jooksma; distants; strateegia; uusorg; margo; võistlus; naisekandmine; ulrich
8,9,8,8,4,8,8,8,6,12,veetakistus; maailmameister; lauskmaa; jooksma; distants; strateegia; uusorg; margo; võistlus; naisekandmine; ulrich
8,9,5,8,4,6,7,6,6,12,margo; veetakistus; võistlus; naisekandmine; maailmameister; lauskmaa; ulrich; jooksma; distants; strateegia; uusorg
9,9,6,8,5,7,9,6,6,12,veetakistus; maailmameister; lauskmaa; jooksma; distants; strateegia; uusorg; margo; võistlus; naisekandmine; ulrich
8,8,6,7,5,6,9,6,9,12,veetakistus; maailmameister; lauskmaa; jooksma; distants; strateegia; uusorg; margo; võistlus; naisekandmine; ulrich
