EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,4,4,2,3,6,6,4,4,10,kirjastaja; kirjanik; kriitika; tundmus; kuulsus; närv; häda
5,4,4,2,3,6,6,4,4,10,kirjastaja; kirjanik; kriitika; tundmus; kuulsus; närv; häda
5,4,4,1,3,6,6,4,4,10,kirjastaja; kirjanik; kriitika; tundmus; kuulsus; närv; häda
5,4,5,1,3,5,6,4,5,10,kirjastaja; kirjanik; kriitika; tundmus; kuulsus; närv; häda
5,4,5,1,3,5,6,5,5,10,kirjastaja; kirjanik; kriitika; tundmus; kuulsus; närv; häda
5,4,6,1,3,5,6,5,5,10,kirjastaja; kirjanik; kriitika; tundmus; kuulsus; närv; häda
5,4,6,4,2,6,7,5,5,10,kirjastaja; kirjanik; kriitika; tundmus; kuulsus; närv; häda
5,4,6,5,2,5,6,5,6,10,kirjastaja; kirjanik; kriitika; tundmus; kuulsus; närv; häda
4,5,6,5,2,4,3,6,6,10,kirjastaja; kirjanik; tundmus; kriitika; kuulsus; närv; häda
3,5,5,5,4,3,3,3,6,10,kirjastaja; kirjanik; tundmus; kriitika; kuulsus; närv; häda
4,4,6,5,5,4,3,4,4,10,kirjastaja; kirjanik; tundmus; kriitika; kuulsus; närv; häda
