EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,9,10,7,6,7,8,6,6,10,saade; režissöör; fotograaf; koosolek; stuudio; filmiruum; televisioon; toimetus; direktor; laboratoorium
10,9,10,7,6,7,8,6,6,10,saade; režissöör; fotograaf; koosolek; stuudio; filmiruum; televisioon; toimetus; direktor; laboratoorium
10,9,10,7,6,6,8,7,6,10,saade; režissöör; fotograaf; koosolek; stuudio; filmiruum; televisioon; toimetus; direktor; laboratoorium
10,9,10,7,6,6,8,8,6,10,saade; režissöör; fotograaf; koosolek; stuudio; filmiruum; televisioon; toimetus; direktor; laboratoorium
10,9,10,7,6,7,8,8,6,10,saade; režissöör; fotograaf; koosolek; stuudio; filmiruum; televisioon; toimetus; direktor; laboratoorium
9,8,10,7,7,10,9,9,6,10,saade; režissöör; fotograaf; koosolek; stuudio; filmiruum; televisioon; toimetus; direktor; laboratoorium
9,10,10,8,7,8,9,10,6,10,saade; režissöör; fotograaf; koosolek; stuudio; filmiruum; televisioon; toimetus; direktor; laboratoorium
8,8,9,9,7,9,9,10,6,10,saade; režissöör; fotograaf; koosolek; stuudio; filmiruum; televisioon; toimetus; direktor; laboratoorium
9,8,9,8,8,9,9,10,7,10,saade; režissöör; fotograaf; koosolek; stuudio; filmiruum; televisioon; toimetus; direktor; laboratoorium
9,9,8,9,8,10,9,10,8,10,saade; režissöör; fotograaf; koosolek; stuudio; filmiruum; televisioon; toimetus; direktor; laboratoorium
8,8,9,8,9,10,9,10,9,10,saade; režissöör; fotograaf; koosolek; stuudio; filmiruum; televisioon; toimetus; direktor; laboratoorium
