EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,10,8,9,4,5,8,8,9,15,film; eelarve; rahvusvaheline; dokk; kino; turg; sõprus; televisioon; formaat; dokumentaalfilm; produtsent; eesti; autoridokk
8,10,8,9,4,5,8,7,9,15,film; eelarve; rahvusvaheline; dokk; kino; turg; sõprus; televisioon; formaat; dokumentaalfilm; produtsent; eesti; autoridokk
10,10,8,9,4,5,8,8,9,15,film; eelarve; rahvusvaheline; dokk; kino; turg; sõprus; televisioon; formaat; dokumentaalfilm; produtsent; eesti; autoridokk
11,10,8,9,5,6,8,8,9,15,film; eelarve; rahvusvaheline; dokk; kino; turg; sõprus; formaat; televisioon; dokumentaalfilm; produtsent; eesti; autoridokk
11,9,11,9,5,6,7,10,9,15,film; eelarve; rahvusvaheline; dokk; kino; turg; sõprus; formaat; televisioon; dokumentaalfilm; produtsent; eesti; autoridokk
9,8,12,9,6,8,8,12,10,15,film; eelarve; rahvusvaheline; dokk; kino; turg; sõprus; televisioon; formaat; dokumentaalfilm; produtsent; eesti; autoridokk
8,8,12,8,6,9,9,11,8,15,film; eelarve; rahvusvaheline; dokk; kino; turg; sõprus; televisioon; formaat; dokumentaalfilm; produtsent; eesti; autoridokk
6,9,11,7,7,11,8,12,9,15,film; eelarve; rahvusvaheline; dokk; kino; turg; sõprus; televisioon; formaat; dokumentaalfilm; produtsent; eesti; autoridokk
8,7,10,10,8,9,10,11,7,15,film; eelarve; rahvusvaheline; dokk; kino; turg; sõprus; televisioon; formaat; dokumentaalfilm; produtsent; eesti; autoridokk
6,8,9,9,9,10,8,11,7,15,film; eelarve; rahvusvaheline; dokk; kino; turg; sõprus; televisioon; formaat; dokumentaalfilm; produtsent; eesti; autoridokk
7,7,10,7,11,9,8,11,7,15,film; eelarve; rahvusvaheline; dokk; kino; turg; sõprus; televisioon; formaat; dokumentaalfilm; produtsent; eesti; autoridokk
