EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,10,8,10,4,8,9,9,6,13,pianiino; kontsertklaver; falck; eesti; klaverimeister; klavessiin; radke; klaverivabrik; muusikamuuseum; klaveriehitus; christoph
11,10,9,10,5,8,8,9,6,13,pianiino; kontsertklaver; falck; eesti; klaverimeister; klavessiin; radke; klaverivabrik; muusikamuuseum; klaveriehitus; christoph
11,10,10,10,5,8,8,9,6,13,pianiino; kontsertklaver; falck; eesti; klaverimeister; klavessiin; radke; klaverivabrik; muusikamuuseum; klaveriehitus; christoph
11,10,10,10,6,8,9,9,6,13,pianiino; kontsertklaver; falck; eesti; klaverimeister; klavessiin; radke; klaverivabrik; muusikamuuseum; klaveriehitus; christoph
11,10,10,10,6,8,9,9,6,13,pianiino; kontsertklaver; falck; eesti; klaverimeister; klavessiin; radke; klaverivabrik; muusikamuuseum; klaveriehitus; christoph
11,10,9,10,6,9,10,9,6,13,pianiino; kontsertklaver; falck; eesti; klaverimeister; klavessiin; radke; klaverivabrik; muusikamuuseum; klaveriehitus; christoph
9,10,10,9,5,9,10,10,5,13,pianiino; kontsertklaver; falck; eesti; klavessiin; klaverimeister; radke; klaverivabrik; muusikamuuseum; klaveriehitus; christoph
8,9,8,9,6,9,8,8,8,13,pianiino; kontsertklaver; falck; eesti; klaverimeister; klavessiin; radke; klaverivabrik; muusikamuuseum; klaveriehitus; christoph
7,10,9,8,8,7,6,7,9,13,pianiino; kontsertklaver; falck; eesti; klavessiin; klaverivabrik; radke; klaverimeister; muusikamuuseum; klaveriehitus; christoph
8,9,7,8,8,7,7,7,7,13,pianiino; kontsertklaver; falck; eesti; klaverivabrik; klavessiin; radke; klaverimeister; muusikamuuseum; klaveriehitus; christoph
4,9,9,8,9,7,5,6,7,13,pianiino; kontsertklaver; falck; eesti; klaverivabrik; klaverimeister; klavessiin; radke; muusikamuuseum; klaveriehitus; christoph
