EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
11,10,6,9,7,7,7,9,9,13,süüria; tolmeldaja; kreeka; hobune; regi; eesti; murdesõnastik; põgenik; keel; eurovisioon; tööjõupuudus
10,11,7,9,7,7,7,9,9,13,süüria; tolmeldaja; kreeka; hobune; regi; eesti; murdesõnastik; põgenik; keel; eurovisioon; tööjõupuudus
11,11,8,9,6,7,7,8,9,13,süüria; tolmeldaja; kreeka; hobune; regi; eesti; murdesõnastik; põgenik; keel; eurovisioon; tööjõupuudus
11,11,10,9,6,8,6,8,9,13,süüria; tolmeldaja; kreeka; hobune; regi; eesti; murdesõnastik; põgenik; keel; eurovisioon; tööjõupuudus
11,9,10,10,6,7,8,8,9,13,süüria; tolmeldaja; kreeka; hobune; regi; eesti; murdesõnastik; põgenik; keel; eurovisioon; tööjõupuudus
11,10,10,11,6,10,9,8,9,13,süüria; tolmeldaja; kreeka; hobune; regi; eesti; murdesõnastik; põgenik; keel; eurovisioon; tööjõupuudus
8,10,10,10,6,10,9,10,9,13,süüria; tolmeldaja; kreeka; hobune; regi; eesti; murdesõnastik; põgenik; keel; eurovisioon; tööjõupuudus
9,11,10,11,7,9,10,10,9,13,süüria; tolmeldaja; kreeka; hobune; regi; eesti; murdesõnastik; põgenik; keel; eurovisioon; tööjõupuudus
8,11,10,10,8,8,10,10,9,13,süüria; tolmeldaja; kreeka; hobune; regi; eesti; murdesõnastik; põgenik; keel; eurovisioon; tööjõupuudus
8,10,11,9,9,9,9,10,10,13,süüria; tolmeldaja; kreeka; hobune; regi; eesti; murdesõnastik; põgenik; keel; eurovisioon; tööjõupuudus
8,10,11,8,9,9,9,10,10,13,süüria; tolmeldaja; kreeka; hobune; regi; eesti; murdesõnastik; põgenik; keel; eurovisioon; tööjõupuudus
