EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
11,10,7,12,7,9,11,10,7,14,rapla; allik; näitleja; ehin; andres; mikomägi; ajakirjanik; jaak; kultuuripärl; jaan; margus; tooming; lavakas
11,10,8,12,7,8,11,10,7,14,rapla; allik; näitleja; ehin; andres; mikomägi; ajakirjanik; jaak; kultuuripärl; jaan; margus; tooming; lavakas
10,11,9,12,7,8,11,10,8,14,rapla; allik; näitleja; ehin; andres; mikomägi; ajakirjanik; jaak; kultuuripärl; jaan; margus; tooming; lavakas
10,12,7,12,7,8,10,11,8,14,rapla; allik; näitleja; ehin; andres; mikomägi; ajakirjanik; jaak; kultuuripärl; jaan; margus; tooming; lavakas
10,12,10,12,7,8,10,11,8,14,rapla; allik; näitleja; ehin; andres; mikomägi; ajakirjanik; jaak; kultuuripärl; jaan; margus; tooming; lavakas
8,13,10,12,7,7,9,9,8,14,rapla; allik; näitleja; ehin; andres; mikomägi; ajakirjanik; jaak; kultuuripärl; jaan; margus; tooming; lavakas
9,9,9,11,8,10,9,11,8,14,rapla; allik; näitleja; ehin; andres; mikomägi; ajakirjanik; jaak; kultuuripärl; jaan; margus; tooming; lavakas
8,12,9,10,7,12,8,11,8,14,rapla; allik; näitleja; ehin; andres; mikomägi; ajakirjanik; jaak; kultuuripärl; jaan; margus; tooming; lavakas
8,13,9,9,6,10,8,10,8,14,rapla; allik; näitleja; ehin; andres; mikomägi; ajakirjanik; jaak; kultuuripärl; jaan; margus; tooming; lavakas
8,10,10,8,8,9,8,9,8,14,rapla; allik; näitleja; ehin; andres; mikomägi; ajakirjanik; jaak; kultuuripärl; jaan; margus; tooming; lavakas
7,11,11,8,8,8,9,9,9,14,rapla; allik; näitleja; ehin; andres; mikomägi; ajakirjanik; jaak; kultuuripärl; jaan; margus; tooming; lavakas
