EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,7,7,7,7,7,7,7,7,10,töö; vabadus; varandus; kompenseerima; õigus; kolhoos; talu
7,7,7,7,7,7,7,7,7,10,töö; vabadus; varandus; kompenseerima; õigus; kolhoos; talu
7,7,7,7,7,7,7,7,7,10,töö; vabadus; varandus; kompenseerima; õigus; kolhoos; talu
7,7,7,7,7,7,7,7,7,10,töö; vabadus; varandus; kompenseerima; õigus; kolhoos; talu
7,7,7,7,7,7,7,7,7,10,töö; vabadus; varandus; kompenseerima; õigus; kolhoos; talu
7,7,7,7,7,7,7,7,7,10,töö; vabadus; varandus; kompenseerima; õigus; kolhoos; talu
7,7,7,7,7,7,7,7,7,10,töö; vabadus; varandus; kompenseerima; õigus; kolhoos; talu
7,7,7,7,7,7,7,7,7,10,töö; vabadus; varandus; kompenseerima; õigus; kolhoos; talu
7,7,7,7,7,7,7,7,7,10,töö; vabadus; varandus; kompenseerima; õigus; kolhoos; talu
7,7,7,7,7,7,7,7,7,10,töö; vabadus; varandus; kompenseerima; õigus; kolhoos; talu
7,7,7,7,7,7,7,7,7,10,töö; vabadus; varandus; kompenseerima; õigus; kolhoos; talu
