EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,7,6,4,2,4,7,4,3,11,lähedus; raamat; kirjanik; võõras; furby; üksindus; olme; lavastus; urmas; vadi
8,7,7,4,3,6,7,5,3,11,lähedus; raamat; kirjanik; võõras; furby; üksindus; olme; lavastus; urmas; vadi
7,7,6,3,2,6,7,5,3,11,lähedus; raamat; kirjanik; võõras; furby; üksindus; olme; lavastus; urmas; vadi
6,7,6,3,2,6,7,5,3,11,lähedus; raamat; kirjanik; võõras; furby; üksindus; olme; lavastus; urmas; vadi
6,7,4,2,2,6,7,6,3,11,lähedus; raamat; kirjanik; võõras; furby; üksindus; olme; lavastus; urmas; vadi
6,7,4,2,4,6,9,7,3,11,raamat; kirjanik; furby; urmas; lähedus; võõras; üksindus; olme; lavastus; vadi
6,7,6,4,4,6,7,6,3,11,lähedus; raamat; kirjanik; võõras; furby; üksindus; olme; lavastus; urmas; vadi
5,8,6,5,5,4,6,7,3,11,lähedus; raamat; kirjanik; võõras; furby; üksindus; olme; lavastus; urmas; vadi
5,7,6,4,6,5,6,7,2,11,lähedus; raamat; kirjanik; võõras; furby; üksindus; olme; lavastus; urmas; vadi
3,7,6,4,6,6,6,6,2,11,lähedus; raamat; kirjanik; furby; võõras; üksindus; olme; lavastus; urmas; vadi
2,6,6,5,6,6,6,6,2,11,lähedus; raamat; kirjanik; furby; võõras; üksindus; olme; lavastus; urmas; vadi
