EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,4,3,2,1,3,5,4,0,17,pere; mälestus; juuksur; balletikool; lahkumine; lapsepõlv; näitleja; isa; lavakas; kasvatama
2,5,3,2,1,3,4,2,0,17,pere; mälestus; balletikool; lahkumine; lapsepõlv; näitleja; isa; lavakas
2,5,4,2,1,3,4,2,0,17,pere; mälestus; lahkumine; lapsepõlv; näitleja; isa; lavakas; hermine; balletikool
2,4,3,2,1,3,4,2,0,17,pere; mälestus; balletikool; lahkumine; lapsepõlv; näitleja; isa; hermine; lavakas
1,3,3,2,2,6,5,2,0,17,pere; piret; mälestus; pesamuna; balletikool; lahkumine; näitleja; lapsepõlv; isa; hermine; lavakas; kasvatama
1,3,2,1,2,5,5,3,0,17,pere; piret; mälestus; pesamuna; juuksur; balletikool; näitleja; lapsepõlv; isa; hermine; lavakas
0,1,3,3,2,5,4,1,1,17,pere; piret; mälestus; pesamuna; juuksur; balletikool; näitleja; lapsepõlv; hermine; lavakas
0,1,1,2,2,3,3,3,0,17,pere; piret; pesamuna; juuksur; lapsepõlv; näitleja; hermine; balletikool; kasvatama
0,1,1,2,2,3,2,2,0,17,pere; piret; lahkumine; näitleja; isa; hermine; balletikool
0,1,1,1,3,2,1,0,1,17,isa; piret; lapsepõlv; hermine; juuksur; balletikool; näitleja
1,0,0,1,2,2,2,1,1,17,lavakas; piret; mälestus; hermine; lapsepõlv; lahkumine; näitleja
