EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,9,9,6,0,7,6,5,6,19,rudolf; kosmosesüstik; mesila; kreeka; euroopa; abistamine; kliimamuutus; elanikkond; festival; liit; pärimusmuusika; muinaslaev; taal; bulgaaria; usa
11,7,10,6,0,7,6,5,6,19,rudolf; kosmosesüstik; mesila; euroopa; kreeka; abistamine; kliimamuutus; festival; liit; pärimusmuusika; usa; muinaslaev; taal; bulgaaria; elanikkond
12,6,11,5,0,8,6,6,6,19,rudolf; kosmosesüstik; mesila; euroopa; kreeka; abistamine; kliimamuutus; festival; liit; pärimusmuusika; usa; muinaslaev; taal; bulgaaria; elanikkond
11,6,11,7,0,10,10,7,6,19,rudolf; kosmosesüstik; mesila; euroopa; kreeka; abistamine; kliimamuutus; festival; liit; pärimusmuusika; usa; muinaslaev; taal; bulgaaria; elanikkond
10,4,10,7,0,9,10,9,6,19,rudolf; kosmosesüstik; mesila; euroopa; kreeka; abistamine; kliimamuutus; elanikkond; festival; liit; pärimusmuusika; muinaslaev; taal; bulgaaria; usa
9,5,14,8,0,10,10,10,6,19,rudolf; kosmosesüstik; mesila; kreeka; euroopa; abistamine; kliimamuutus; elanikkond; festival; liit; pärimusmuusika; muinaslaev; taal; bulgaaria; usa
9,6,11,11,3,11,11,12,6,19,rudolf; kosmosesüstik; mesila; kreeka; abistamine; euroopa; kliimamuutus; elanikkond; festival; liit; pärimusmuusika; muinaslaev; taal; bulgaaria; usa
9,6,10,10,4,11,10,11,6,19,rudolf; kosmosesüstik; mesila; euroopa; kreeka; abistamine; kliimamuutus; elanikkond; festival; liit; pärimusmuusika; muinaslaev; taal; bulgaaria; usa
9,4,11,10,5,8,11,9,6,19,rudolf; kosmosesüstik; mesila; euroopa; kreeka; abistamine; kliimamuutus; elanikkond; festival; liit; pärimusmuusika; muinaslaev; taal; bulgaaria; usa
7,4,10,9,5,10,11,10,7,19,rudolf; kosmosesüstik; mesila; abistamine; kreeka; euroopa; kliimamuutus; elanikkond; festival; liit; pärimusmuusika; muinaslaev; taal; bulgaaria; usa
7,4,11,9,7,8,7,8,9,19,rudolf; kosmosesüstik; mesila; abistamine; kreeka; euroopa; kliimamuutus; elanikkond; festival; liit; pärimusmuusika; muinaslaev; taal; bulgaaria; usa
