EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,9,5,7,4,7,5,8,5,13,elizabeth; elektroonika; rokkansambel; süntesaator; populaarmuusika; elektripill; sampel; sooloettevõtmine; esselink; holland; solex
9,9,5,7,4,7,5,8,5,13,elizabeth; elektroonika; rokkansambel; süntesaator; populaarmuusika; elektripill; sampel; sooloettevõtmine; esselink; holland; solex
9,9,5,7,4,6,5,9,5,13,elizabeth; elektroonika; rokkansambel; süntesaator; populaarmuusika; elektripill; sampel; sooloettevõtmine; esselink; holland; solex
9,9,8,7,4,6,7,9,5,13,elizabeth; elektroonika; rokkansambel; süntesaator; populaarmuusika; elektripill; sampel; sooloettevõtmine; esselink; holland; solex
9,9,7,8,5,7,8,10,5,13,elizabeth; elektroonika; rokkansambel; süntesaator; populaarmuusika; elektripill; sampel; sooloettevõtmine; esselink; holland; solex
8,8,11,9,5,7,8,10,5,13,elizabeth; elektroonika; rokkansambel; süntesaator; populaarmuusika; elektripill; sampel; sooloettevõtmine; esselink; holland; solex
9,8,11,9,5,9,8,10,5,13,elizabeth; elektroonika; rokkansambel; süntesaator; populaarmuusika; elektripill; sampel; sooloettevõtmine; esselink; holland; solex
6,9,10,10,6,8,8,9,4,13,elizabeth; elektroonika; rokkansambel; süntesaator; populaarmuusika; elektripill; sampel; sooloettevõtmine; esselink; holland; solex
6,8,11,7,8,7,9,7,5,13,elizabeth; elektroonika; rokkansambel; süntesaator; populaarmuusika; elektripill; sampel; sooloettevõtmine; esselink; holland; solex
5,7,8,7,8,7,7,9,7,13,elizabeth; elektroonika; rokkansambel; süntesaator; populaarmuusika; elektripill; sampel; sooloettevõtmine; esselink; holland; solex
7,6,9,7,8,7,8,8,7,13,elizabeth; elektroonika; rokkansambel; süntesaator; populaarmuusika; elektripill; sampel; sooloettevõtmine; esselink; holland; solex
