EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,9,5,4,1,5,5,5,4,15,rütm; mandingo; paavo; muusikaline; popmuusika; sekk; mansour; maa; traditsioon; lääne-aafrika
9,9,5,4,1,6,5,6,5,15,rütm; mandingo; paavo; muusikaline; popmuusika; sekk; mansour; maa; traditsioon; lääne-aafrika
9,9,5,5,2,6,6,7,5,15,rütm; mandingo; paavo; muusikaline; popmuusika; sekk; mansour; maa; traditsioon; lääne-aafrika
9,8,6,5,2,7,6,7,5,15,rütm; mandingo; paavo; muusikaline; popmuusika; sekk; mansour; maa; traditsioon; lääne-aafrika
9,9,7,6,2,7,8,9,5,15,mandingo; paavo; sekk; maa; lääne-aafrika; rütm; muusikaline; popmuusika; mansour; traditsioon
10,7,10,8,3,6,8,10,5,15,mandingo; paavo; sekk; maa; lääne-aafrika; rütm; muusikaline; popmuusika; mansour; traditsioon
9,8,9,8,4,8,7,10,6,15,mandingo; paavo; sekk; maa; lääne-aafrika; rütm; muusikaline; popmuusika; mansour; traditsioon
6,8,8,9,6,7,8,10,7,15,mandingo; paavo; sekk; maa; lääne-aafrika; rütm; muusikaline; popmuusika; mansour; traditsioon
5,8,9,9,9,7,9,10,6,15,mandingo; paavo; sekk; maa; lääne-aafrika; rütm; muusikaline; popmuusika; mansour; traditsioon
6,8,9,9,9,7,8,10,7,15,mandingo; paavo; sekk; maa; lääne-aafrika; rütm; muusikaline; popmuusika; mansour; traditsioon
4,8,9,9,9,8,8,8,7,15,mandingo; paavo; sekk; maa; lääne-aafrika; rütm; muusikaline; popmuusika; mansour; traditsioon
