EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,4,4,5,3,3,4,3,1,11,toimetus; raadio; esinemine; viktoriin; varietee
3,4,5,5,3,3,4,3,1,11,toimetus; raadio; esinemine; viktoriin; varietee
3,4,5,5,4,4,4,3,1,11,toimetus; raadio; esinemine; viktoriin; varietee
3,4,5,4,3,4,4,3,1,11,toimetus; raadio; esinemine; viktoriin; varietee
3,4,5,4,3,4,4,3,2,11,toimetus; raadio; esinemine; viktoriin; varietee
3,4,4,4,3,5,2,3,2,11,toimetus; raadio; esinemine; viktoriin; varietee
4,4,4,3,3,3,3,2,2,11,toimetus; raadio; esinemine; viktoriin; varietee
3,2,4,1,3,3,3,3,2,11,esinemine; viktoriin; varietee; toimetus; raadio
4,2,3,0,3,3,4,3,2,11,toimetus; raadio; esinemine; viktoriin; varietee
4,3,2,0,4,3,3,2,3,11,esinemine; viktoriin; varietee; toimetus; raadio
3,2,5,0,2,3,4,3,3,11,toimetus; raadio; esinemine; viktoriin; varietee
