EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,10,6,4,4,5,5,5,7,12,aeg; kahekümnes; homoseksualism; nõukogu; kirik; aasta; jessenin; tervishoid; hügieen; propaganda
6,10,6,4,5,6,5,5,7,12,aeg; kahekümnes; homoseksualism; nõukogu; kirik; aasta; jessenin; tervishoid; hügieen; propaganda
6,10,8,4,5,6,7,6,7,12,aeg; kahekümnes; homoseksualism; nõukogu; kirik; aasta; jessenin; tervishoid; hügieen; propaganda
6,10,9,4,5,6,8,6,7,12,aeg; kahekümnes; homoseksualism; nõukogu; kirik; aasta; jessenin; tervishoid; hügieen; propaganda
6,10,9,4,6,8,9,6,7,12,aeg; kahekümnes; homoseksualism; nõukogu; kirik; aasta; jessenin; tervishoid; hügieen; propaganda
6,10,9,4,5,8,9,7,7,12,aeg; kahekümnes; homoseksualism; nõukogu; kirik; aasta; jessenin; tervishoid; hügieen; propaganda
7,9,8,7,6,5,8,8,7,12,aeg; kahekümnes; homoseksualism; nõukogu; kirik; aasta; jessenin; tervishoid; hügieen; propaganda
5,7,8,9,6,5,6,9,6,12,aeg; kahekümnes; homoseksualism; nõukogu; kirik; aasta; jessenin; tervishoid; hügieen; propaganda
5,8,6,9,6,6,8,8,7,12,aeg; kirik; kahekümnes; homoseksualism; aasta; jessenin; tervishoid; nõukogu; hügieen; propaganda
4,7,7,9,6,7,8,7,7,12,aeg; kirik; kahekümnes; homoseksualism; aasta; jessenin; tervishoid; nõukogu; hügieen; propaganda
6,7,8,9,6,7,8,9,7,12,aeg; kahekümnes; homoseksualism; nõukogu; kirik; aasta; jessenin; tervishoid; hügieen; propaganda
