EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,9,6,8,3,7,9,9,9,10,suvistepüha; misjonitöö; muna; rituaal; kogudus; kask; rahvakalender; nelipüha; kiikumine; peko
7,9,5,8,4,7,9,9,9,10,suvistepüha; misjonitöö; muna; rituaal; kogudus; kask; rahvakalender; nelipüha; kiikumine; peko
6,9,5,8,4,7,9,9,9,10,suvistepüha; misjonitöö; muna; rituaal; kogudus; kask; rahvakalender; nelipüha; kiikumine; peko
6,9,8,7,3,7,9,9,9,10,suvistepüha; misjonitöö; muna; rituaal; kogudus; kask; rahvakalender; nelipüha; kiikumine; peko
6,10,8,7,3,8,9,9,9,10,suvistepüha; misjonitöö; muna; rituaal; kogudus; kask; rahvakalender; nelipüha; kiikumine; peko
7,9,10,7,2,8,9,10,9,10,suvistepüha; misjonitöö; muna; rituaal; kogudus; kask; rahvakalender; nelipüha; kiikumine; peko
7,9,9,6,5,7,9,8,9,10,suvistepüha; misjonitöö; muna; rituaal; kogudus; kask; rahvakalender; nelipüha; kiikumine; peko
9,7,9,8,5,8,8,9,8,10,suvistepüha; misjonitöö; muna; rituaal; kogudus; kask; rahvakalender; nelipüha; kiikumine; peko
7,8,8,8,5,9,7,10,9,10,suvistepüha; misjonitöö; muna; rituaal; kogudus; kask; rahvakalender; nelipüha; kiikumine; peko
8,8,10,9,4,9,8,8,8,10,suvistepüha; misjonitöö; muna; rituaal; kogudus; kask; rahvakalender; nelipüha; kiikumine; peko
7,9,10,9,4,8,7,7,8,10,suvistepüha; misjonitöö; muna; rituaal; kogudus; kask; rahvakalender; nelipüha; kiikumine; peko
