EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,8,2,5,3,5,3,5,9,14,bismarck; müür; von; otto; kurferstendam; brandenburg; wilhelm; friedrich; monumentalism; berliin
10,8,3,5,3,6,3,5,9,14,bismarck; müür; von; otto; kurferstendam; brandenburg; wilhelm; friedrich; monumentalism; berliin
9,8,4,5,3,8,4,5,9,14,bismarck; müür; von; otto; kurferstendam; brandenburg; wilhelm; friedrich; monumentalism; berliin
9,8,4,5,5,7,6,6,9,14,bismarck; müür; von; otto; kurferstendam; brandenburg; wilhelm; friedrich; monumentalism; berliin
9,8,4,6,8,8,6,6,9,14,bismarck; müür; von; otto; kurferstendam; brandenburg; wilhelm; friedrich; monumentalism; berliin
9,7,5,6,9,8,8,6,9,14,bismarck; müür; von; otto; kurferstendam; brandenburg; wilhelm; friedrich; monumentalism; berliin
8,7,8,10,9,8,6,8,9,14,bismarck; müür; von; otto; kurferstendam; brandenburg; wilhelm; friedrich; monumentalism; berliin
7,6,7,9,9,6,6,8,8,14,bismarck; müür; von; otto; kurferstendam; brandenburg; wilhelm; friedrich; monumentalism; berliin
8,7,9,9,9,6,7,8,8,14,bismarck; müür; von; otto; kurferstendam; brandenburg; wilhelm; friedrich; monumentalism; berliin
7,8,9,9,9,6,4,8,8,14,bismarck; müür; von; otto; kurferstendam; brandenburg; wilhelm; friedrich; monumentalism; berliin
6,9,8,9,9,4,3,8,8,14,bismarck; müür; von; otto; kurferstendam; brandenburg; wilhelm; friedrich; monumentalism; berliin
