EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,8,4,7,5,5,5,6,10,15,pik; power; edetab; singel; ameerika; eric; mill; b; rakse; one; euroopa
9,8,4,7,6,5,6,6,10,15,pik; power; edetab; singel; ameerika; eric; mill; b; rakse; one; euroopa
9,8,4,8,7,5,6,6,10,15,pik; power; edetab; singel; ameerika; eric; mill; b; rakse; one; euroopa
8,10,6,8,8,5,6,6,10,15,pik; power; edetab; singel; ameerika; eric; mill; b; rakse; one; euroopa
8,10,7,8,8,6,6,8,10,15,pik; power; edetab; singel; ameerika; eric; mill; b; rakse; one; euroopa
8,10,9,9,10,7,6,9,10,15,pik; power; edetab; singel; ameerika; eric; mill; b; rakse; one; euroopa
10,10,10,10,9,8,8,10,10,15,pik; power; edetab; singel; ameerika; eric; mill; b; rakse; one; euroopa
9,11,11,10,9,9,8,11,11,15,pik; power; edetab; singel; ameerika; eric; mill; b; rakse; one; euroopa
10,10,11,9,10,9,8,11,11,15,pik; power; edetab; singel; ameerika; eric; mill; b; rakse; one; euroopa
10,9,9,9,9,9,8,10,11,15,pik; power; edetab; singel; ameerika; eric; mill; b; rakse; one; euroopa
10,8,10,8,9,9,9,10,11,15,pik; power; edetab; singel; ameerika; eric; mill; b; rakse; one; euroopa
