EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,4,4,1,2,4,4,2,3,13,neitsi; püha; johannes; kolmas; paavst; issand; gregorius; jumal
1,4,4,1,2,4,4,2,3,13,neitsi; püha; johannes; kolmas; paavst; issand; gregorius; jumal
1,4,4,1,2,4,4,2,3,13,neitsi; püha; johannes; kolmas; paavst; issand; gregorius; jumal
1,4,4,1,2,4,4,2,3,13,neitsi; püha; johannes; kolmas; paavst; issand; gregorius; jumal
1,4,4,1,2,4,4,2,3,13,neitsi; püha; johannes; kolmas; paavst; issand; gregorius; jumal
1,4,4,1,2,4,4,2,3,13,neitsi; püha; johannes; kolmas; paavst; issand; gregorius; jumal
1,4,4,1,2,4,4,2,3,13,neitsi; püha; johannes; kolmas; paavst; issand; gregorius; jumal
1,4,4,1,2,4,4,2,3,13,neitsi; püha; johannes; kolmas; paavst; issand; gregorius; jumal
1,4,4,1,2,4,4,2,3,13,neitsi; püha; johannes; kolmas; paavst; issand; gregorius; jumal
1,4,4,1,2,3,4,2,3,13,neitsi; püha; johannes; kolmas; paavst; issand; gregorius; jumal
1,4,4,1,2,3,3,2,3,13,neitsi; püha; johannes; kolmas; paavst; issand; gregorius; jumal
