EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,5,5,4,6,2,3,5,5,13,paavst; issand; johannes; püha; jumal; neitsi; kolmas; gregorius
5,5,5,4,6,2,3,5,6,13,paavst; issand; johannes; püha; jumal; neitsi; kolmas; gregorius
5,5,5,4,6,2,3,5,6,13,paavst; issand; johannes; püha; jumal; neitsi; kolmas; gregorius
5,5,5,4,6,2,3,5,6,13,paavst; issand; johannes; püha; jumal; neitsi; kolmas; gregorius
5,5,5,4,6,2,3,5,6,13,paavst; issand; johannes; püha; jumal; neitsi; kolmas; gregorius
5,5,5,4,6,2,3,5,6,13,paavst; issand; johannes; püha; jumal; neitsi; kolmas; gregorius
5,5,5,4,6,2,3,5,6,13,paavst; issand; johannes; püha; jumal; neitsi; kolmas; gregorius
5,5,5,4,6,3,3,5,6,13,paavst; issand; johannes; püha; jumal; neitsi; kolmas; gregorius
6,5,5,5,6,3,5,5,6,13,paavst; issand; johannes; püha; jumal; neitsi; kolmas; gregorius
4,5,5,4,6,5,5,5,6,13,paavst; issand; johannes; püha; jumal; neitsi; kolmas; gregorius
4,4,6,4,6,5,5,6,6,13,paavst; issand; johannes; püha; jumal; neitsi; kolmas; gregorius
