EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,5,8,9,5,10,9,7,3,15,rõõm; peeter; lasmann; tõnu; piret; jürgens; kriivan; toomas; naissoo; põlendik; kadri; autasu
9,5,8,9,5,10,9,7,3,15,rõõm; peeter; lasmann; tõnu; piret; jürgens; kriivan; toomas; naissoo; põlendik; kadri; autasu
9,5,8,9,5,10,9,7,3,15,rõõm; peeter; lasmann; tõnu; piret; jürgens; kriivan; toomas; naissoo; põlendik; kadri; autasu
9,5,8,9,5,10,9,7,5,15,rõõm; peeter; lasmann; tõnu; piret; jürgens; kriivan; toomas; naissoo; põlendik; kadri; autasu
9,5,8,9,5,10,9,7,5,15,rõõm; peeter; lasmann; tõnu; piret; jürgens; kriivan; toomas; naissoo; põlendik; kadri; autasu
9,5,8,9,5,10,9,7,3,15,rõõm; peeter; lasmann; tõnu; piret; jürgens; kriivan; toomas; naissoo; põlendik; kadri; autasu
9,5,8,9,5,10,9,7,5,15,rõõm; peeter; lasmann; tõnu; piret; jürgens; kriivan; toomas; naissoo; põlendik; kadri; autasu
9,5,8,9,5,10,9,7,5,15,rõõm; peeter; lasmann; tõnu; piret; jürgens; kriivan; toomas; naissoo; põlendik; kadri; autasu
9,5,8,9,5,10,9,7,3,15,rõõm; peeter; lasmann; tõnu; piret; jürgens; kriivan; toomas; naissoo; põlendik; kadri; autasu
9,5,8,9,5,10,9,7,3,15,rõõm; peeter; lasmann; tõnu; piret; jürgens; kriivan; toomas; naissoo; põlendik; kadri; autasu
9,5,8,9,5,10,9,7,3,15,rõõm; peeter; lasmann; tõnu; piret; jürgens; kriivan; toomas; naissoo; põlendik; kadri; autasu
