EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,1,5,1,0,1,2,1,0,12,raadio; merivoo-parro; televiisor; energia; maarja; aeg; klassikokkutulek
2,1,5,1,0,1,2,0,0,12,raadio; merivoo-parro; televiisor; energia; maarja; klassikokkutulek
2,1,5,1,0,1,2,0,0,12,raadio; merivoo-parro; televiisor; energia; maarja; klassikokkutulek
2,1,4,1,0,1,2,0,0,12,raadio; merivoo-parro; maarja; energia; televiisor; klassikokkutulek
2,1,3,1,0,1,2,0,0,12,raadio; merivoo-parro; maarja; televiisor; klassikokkutulek
1,1,3,0,0,2,2,0,0,12,raadio; merivoo-parro; maarja; televiisor
2,1,3,1,0,2,1,0,0,12,raadio; merivoo-parro; maarja; klassikokkutulek
1,1,3,2,1,3,2,0,0,12,raadio; ansambel; merivoo-parro; maarja; energia; televiisor
0,1,3,1,1,2,3,0,0,12,televiisor; energia; aeg; raadio; ansambel; merivoo-parro; maarja; album
0,1,3,0,1,3,2,0,0,12,televiisor; aeg; energia; raadio; merivoo-parro; album; maarja
0,0,3,0,2,2,1,0,0,12,raadio; merivoo-parro; maarja; aeg; energia
