EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,2,3,0,0,1,3,2,0,11,raudtee; jaan; reino; himmat
1,2,3,0,0,1,3,2,0,11,raudtee; jaan; reino; himmat
1,2,3,0,0,1,3,2,0,11,raudtee; jaan; reino; himmat
1,2,3,0,0,1,3,2,0,11,raudtee; jaan; reino; himmat
1,2,3,0,0,1,3,2,0,11,raudtee; jaan; reino; himmat
1,2,3,0,0,1,3,2,0,11,raudtee; jaan; reino; himmat
1,2,3,0,0,1,3,2,0,11,raudtee; jaan; reino; himmat
1,2,3,0,0,1,3,2,0,11,raudtee; jaan; reino; himmat
1,2,3,0,0,1,3,2,0,11,raudtee; jaan; reino; himmat
1,2,3,0,0,1,3,2,0,11,raudtee; jaan; reino; himmat
1,2,3,0,0,1,3,2,0,11,raudtee; jaan; reino; himmat
