EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,0,4,0,1,1,2,2,2,12,kristjan; lasteporno; port; lamar; tarkus; mccain; arhiveerima; jälitamiskohustus
2,0,4,0,1,1,2,2,2,12,kristjan; lasteporno; port; lamar; tarkus; mccain; arhiveerima; jälitamiskohustus
2,0,4,0,1,1,2,2,2,12,kristjan; lasteporno; port; lamar; tarkus; mccain; arhiveerima; jälitamiskohustus
2,0,4,0,1,1,2,2,2,12,kristjan; lasteporno; port; lamar; tarkus; mccain; arhiveerima; jälitamiskohustus
2,0,4,0,1,1,2,2,2,12,kristjan; lasteporno; port; lamar; tarkus; mccain; arhiveerima; jälitamiskohustus
2,0,4,0,1,1,2,2,3,12,kristjan; lasteporno; port; lamar; tarkus; mccain; arhiveerima; jälitamiskohustus
2,0,4,0,1,1,2,2,3,12,kristjan; lasteporno; port; lamar; tarkus; mccain; arhiveerima; jälitamiskohustus
1,0,3,1,1,1,2,2,3,12,kristjan; lasteporno; port; lamar; tarkus; mccain; arhiveerima; jälitamiskohustus
2,0,3,3,1,1,2,1,3,12,kristjan; lasteporno; port; lamar; mccain; tarkus; arhiveerima; jälitamiskohustus
1,0,3,2,2,1,1,2,3,12,kristjan; lasteporno; port; lamar; mccain; tarkus; arhiveerima; jälitamiskohustus
1,0,3,1,2,1,1,2,3,12,kristjan; lasteporno; port; lamar; mccain; tarkus; arhiveerima; jälitamiskohustus
