EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,1,4,1,0,1,1,4,2,11,nurk; väärtused; seadused; teistmoodi; heino
1,1,4,1,0,1,1,4,2,11,nurk; väärtused; seadused; teistmoodi; heino
1,1,4,1,0,1,1,4,2,11,nurk; väärtused; seadused; teistmoodi; heino
1,1,4,1,0,1,1,4,2,11,nurk; väärtused; seadused; teistmoodi; heino
1,1,4,1,0,1,1,4,2,11,nurk; väärtused; seadused; teistmoodi; heino
1,1,4,1,0,1,1,4,2,11,nurk; väärtused; seadused; teistmoodi; heino
1,1,4,1,0,1,1,4,2,11,nurk; väärtused; seadused; teistmoodi; heino
1,1,4,1,0,1,1,4,2,11,nurk; väärtused; seadused; teistmoodi; heino
1,1,4,1,0,1,1,4,2,11,nurk; väärtused; seadused; teistmoodi; heino
1,1,4,1,0,1,1,4,2,11,nurk; väärtused; seadused; teistmoodi; heino
1,1,4,1,0,1,1,4,2,11,nurk; väärtused; seadused; teistmoodi; heino
