EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,3,3,3,2,3,4,3,2,10,lõuna-eesti; vana; suvepäev; tants; pillimäng
4,3,3,3,2,3,4,3,2,10,lõuna-eesti; vana; suvepäev; tants; pillimäng
4,3,3,3,2,3,4,3,2,10,lõuna-eesti; vana; suvepäev; tants; pillimäng
4,3,3,3,2,3,4,3,2,10,lõuna-eesti; vana; suvepäev; tants; pillimäng
4,3,3,3,2,3,4,3,2,10,lõuna-eesti; vana; suvepäev; tants; pillimäng
4,3,3,3,2,3,4,3,2,10,lõuna-eesti; vana; suvepäev; tants; pillimäng
4,3,3,3,2,3,3,3,2,10,lõuna-eesti; vana; tants; pillimäng; suvepäev
3,4,2,3,2,3,3,3,2,10,lõuna-eesti; vana; tants; pillimäng; suvepäev
2,4,3,2,1,3,4,3,2,10,vana; lõuna-eesti; suvepäev; tants; pillimäng
2,4,3,3,2,3,4,3,2,10,lõuna-eesti; vana; suvepäev; tants; pillimäng
3,3,3,3,2,3,4,3,2,10,lõuna-eesti; vana; suvepäev; tants; pillimäng
