EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,2,3,2,2,1,1,1,1,12,nõukogude; koostöö; energia; brigaad
1,2,3,2,2,1,1,1,1,12,nõukogude; koostöö; energia; brigaad
1,2,3,2,2,1,1,1,1,12,nõukogude; koostöö; energia; brigaad
1,2,3,2,2,1,1,1,1,12,nõukogude; koostöö; energia; brigaad
1,2,3,2,2,1,1,1,1,12,nõukogude; koostöö; energia; brigaad
1,2,3,2,2,1,1,1,1,12,nõukogude; koostöö; energia; brigaad
1,2,3,2,2,1,1,1,1,12,nõukogude; koostöö; energia; brigaad
1,2,3,2,2,1,1,1,1,12,nõukogude; koostöö; energia; brigaad
1,2,3,2,2,1,1,1,1,12,nõukogude; koostöö; energia; brigaad
1,2,3,2,2,1,1,1,1,12,nõukogude; koostöö; energia; brigaad
1,2,3,2,2,1,1,1,1,12,nõukogude; koostöö; energia; brigaad
