EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,8,7,7,5,4,8,6,0,14,senjoriita; televisiooni; kanada; donald; kasekamp; aasta; hääl; andres; trump; jäähoki
6,8,7,7,5,4,8,6,0,14,senjoriita; televisiooni; kanada; donald; kasekamp; aasta; hääl; andres; trump; jäähoki
6,8,7,7,5,4,8,6,0,14,senjoriita; televisiooni; kanada; donald; kasekamp; aasta; hääl; andres; trump; jäähoki
6,8,7,7,5,4,8,6,0,14,senjoriita; televisiooni; kanada; donald; kasekamp; aasta; hääl; andres; trump; jäähoki
6,8,7,7,5,4,8,6,0,14,senjoriita; televisiooni; kanada; donald; kasekamp; aasta; hääl; andres; trump; jäähoki
6,8,7,7,5,4,8,6,0,14,senjoriita; televisiooni; kanada; donald; kasekamp; aasta; hääl; andres; trump; jäähoki
6,8,7,7,5,4,8,6,0,14,senjoriita; televisiooni; kanada; donald; kasekamp; aasta; hääl; andres; trump; jäähoki
5,8,6,7,5,6,8,6,0,14,senjoriita; televisiooni; kanada; donald; kasekamp; aasta; hääl; andres; trump; jäähoki
6,8,6,6,5,6,9,6,0,14,senjoriita; televisiooni; kanada; donald; kasekamp; aasta; hääl; andres; trump; jäähoki
6,8,7,9,6,7,9,6,0,14,senjoriita; televisiooni; kasekamp; hääl; andres; kanada; donald; aasta; trump; jäähoki
6,8,8,8,7,7,9,6,0,14,senjoriita; televisiooni; kasekamp; hääl; andres; kanada; donald; aasta; trump; jäähoki
