EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,3,4,6,5,3,4,6,4,13,nurk; vangla; salaja; raamat; ämber; martin; sidepidamine
2,3,4,6,5,3,4,6,4,13,nurk; vangla; salaja; raamat; ämber; martin; sidepidamine
2,3,4,6,5,3,4,6,4,13,nurk; vangla; salaja; raamat; ämber; martin; sidepidamine
2,3,4,6,5,3,4,6,4,13,nurk; vangla; salaja; raamat; ämber; martin; sidepidamine
2,3,4,6,5,3,4,6,4,13,nurk; vangla; salaja; raamat; ämber; martin; sidepidamine
2,3,4,6,5,3,4,6,4,13,nurk; vangla; salaja; raamat; ämber; martin; sidepidamine
2,3,4,6,5,3,4,6,4,13,nurk; vangla; salaja; raamat; ämber; martin; sidepidamine
2,3,4,6,5,3,4,6,4,13,nurk; vangla; salaja; raamat; ämber; martin; sidepidamine
2,3,4,6,5,3,4,6,4,13,nurk; vangla; salaja; raamat; ämber; martin; sidepidamine
2,3,4,6,5,3,4,6,4,13,nurk; vangla; salaja; raamat; ämber; martin; sidepidamine
2,3,4,6,5,3,4,6,4,13,nurk; vangla; salaja; raamat; ämber; martin; sidepidamine
