EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,6,7,10,6,3,2,5,8,12,tsensuur; port; seadusalgatus; internetiteenus; mccain; jälitamiskohustus; lasteporno; tarkus; john; kristjan; lamar
8,6,7,10,6,3,2,5,8,12,tsensuur; port; seadusalgatus; internetiteenus; mccain; jälitamiskohustus; lasteporno; tarkus; john; kristjan; lamar
8,6,7,10,6,3,2,5,8,12,tsensuur; port; seadusalgatus; internetiteenus; mccain; jälitamiskohustus; lasteporno; tarkus; john; kristjan; lamar
8,6,7,10,6,3,2,5,8,12,tsensuur; port; seadusalgatus; internetiteenus; mccain; jälitamiskohustus; lasteporno; tarkus; john; kristjan; lamar
8,6,7,10,6,3,2,5,8,12,tsensuur; port; seadusalgatus; internetiteenus; mccain; jälitamiskohustus; lasteporno; tarkus; john; kristjan; lamar
8,6,7,10,6,3,2,5,8,12,tsensuur; port; seadusalgatus; internetiteenus; mccain; jälitamiskohustus; lasteporno; tarkus; john; kristjan; lamar
8,6,7,10,6,3,2,6,8,12,tsensuur; port; seadusalgatus; internetiteenus; mccain; jälitamiskohustus; lasteporno; tarkus; john; kristjan; lamar
7,6,7,9,6,4,2,6,8,12,tsensuur; port; seadusalgatus; internetiteenus; mccain; jälitamiskohustus; lasteporno; tarkus; john; kristjan; lamar
7,6,7,9,7,4,2,8,8,12,tsensuur; port; seadusalgatus; internetiteenus; mccain; jälitamiskohustus; lasteporno; tarkus; john; kristjan; lamar
7,8,7,8,7,4,2,9,8,12,tsensuur; port; seadusalgatus; internetiteenus; mccain; jälitamiskohustus; lasteporno; tarkus; john; kristjan; lamar
5,8,7,9,8,5,4,9,8,12,tsensuur; port; seadusalgatus; internetiteenus; mccain; jälitamiskohustus; lasteporno; tarkus; john; kristjan; lamar
