EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,6,4,6,4,7,5,6,5,13,hobune; kadri-ann; karl; sagrits; silver; heino; väli; admiral
4,6,4,6,4,7,5,6,5,13,hobune; kadri-ann; karl; sagrits; silver; heino; väli; admiral
4,6,4,6,4,7,5,6,6,13,hobune; kadri-ann; karl; sagrits; silver; heino; väli; admiral
4,6,4,6,4,7,5,6,5,13,hobune; kadri-ann; karl; sagrits; silver; heino; väli; admiral
4,6,4,6,4,7,5,6,4,13,hobune; kadri-ann; karl; sagrits; silver; heino; väli; admiral
4,6,4,6,4,7,5,6,3,13,hobune; kadri-ann; karl; sagrits; silver; heino; väli; admiral
3,6,4,6,4,7,5,6,4,13,hobune; kadri-ann; karl; sagrits; silver; heino; väli; admiral
5,6,4,6,4,7,5,6,4,13,kadri-ann; karl; sagrits; heino; silver; hobune; väli; admiral
5,6,4,7,4,7,5,6,4,13,kadri-ann; karl; sagrits; heino; silver; hobune; väli; admiral
5,6,4,7,4,7,5,6,4,13,kadri-ann; karl; sagrits; heino; silver; hobune; väli; admiral
5,6,4,7,4,7,7,5,6,13,kadri-ann; karl; sagrits; heino; silver; hobune; väli; admiral
