EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,6,3,5,8,2,4,5,7,11,nurk; washington; alandlikkus; väärtus; ohtlik; seadus; heino; autoriteet
3,6,3,5,8,2,4,5,7,11,nurk; washington; alandlikkus; väärtus; ohtlik; seadus; heino; autoriteet
3,6,3,5,8,2,4,5,7,11,nurk; washington; alandlikkus; väärtus; ohtlik; seadus; heino; autoriteet
3,6,3,5,8,2,4,5,7,11,nurk; washington; alandlikkus; väärtus; ohtlik; seadus; heino; autoriteet
3,6,3,5,8,2,4,5,7,11,nurk; washington; alandlikkus; väärtus; ohtlik; seadus; heino; autoriteet
3,6,3,5,8,2,4,5,7,11,nurk; washington; alandlikkus; väärtus; ohtlik; seadus; heino; autoriteet
3,6,3,5,8,2,4,5,7,11,nurk; washington; alandlikkus; väärtus; ohtlik; seadus; heino; autoriteet
3,6,3,5,8,2,4,5,7,11,nurk; washington; alandlikkus; väärtus; ohtlik; seadus; heino; autoriteet
3,6,3,5,8,2,4,5,7,11,nurk; washington; alandlikkus; väärtus; ohtlik; seadus; heino; autoriteet
3,6,3,5,8,2,4,5,7,11,nurk; washington; alandlikkus; väärtus; ohtlik; seadus; heino; autoriteet
3,6,3,5,8,2,4,5,7,11,nurk; washington; alandlikkus; väärtus; ohtlik; seadus; heino; autoriteet
