EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,9,8,8,4,6,7,8,6,13,johannes; gregorius; jumal; püha; kolmas; misjon; paavst; troon; issand; kirikukalender; pühakutepäev
8,9,8,8,4,6,7,8,6,13,johannes; gregorius; jumal; püha; kolmas; misjon; paavst; troon; issand; kirikukalender; pühakutepäev
8,9,8,8,4,6,7,8,6,13,johannes; gregorius; jumal; püha; kolmas; misjon; paavst; troon; issand; kirikukalender; pühakutepäev
8,9,8,8,4,6,7,8,6,13,johannes; gregorius; jumal; püha; kolmas; misjon; paavst; troon; issand; kirikukalender; pühakutepäev
8,9,8,8,4,6,7,8,6,13,johannes; gregorius; jumal; püha; kolmas; misjon; paavst; troon; issand; kirikukalender; pühakutepäev
8,9,8,8,4,6,7,8,6,13,johannes; gregorius; jumal; püha; kolmas; misjon; paavst; troon; issand; kirikukalender; pühakutepäev
8,9,8,9,4,6,7,8,6,13,johannes; gregorius; jumal; püha; kolmas; misjon; paavst; troon; issand; kirikukalender; pühakutepäev
8,9,8,8,4,6,7,8,6,13,johannes; gregorius; jumal; püha; kolmas; misjon; paavst; troon; issand; kirikukalender; pühakutepäev
7,9,8,9,4,7,8,8,6,13,johannes; gregorius; jumal; püha; kolmas; misjon; paavst; troon; issand; kirikukalender; pühakutepäev
7,9,8,8,4,8,8,8,6,13,johannes; gregorius; jumal; püha; kolmas; misjon; paavst; troon; issand; kirikukalender; pühakutepäev
7,9,9,8,4,9,8,8,6,13,johannes; gregorius; jumal; püha; kolmas; misjon; paavst; troon; issand; kirikukalender; pühakutepäev
