EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,8,9,9,3,11,9,11,6,12,kriska; kivi; tööriist; keraamika; savinõu; kaevamine; arheoloogiline; kiviaeg; kultuur; narva; aivar; päästekaevamine
10,8,9,9,3,11,9,11,6,12,kriska; kivi; tööriist; keraamika; savinõu; kaevamine; arheoloogiline; kiviaeg; kultuur; narva; aivar; päästekaevamine
10,8,9,9,3,11,9,11,6,12,kriska; kivi; tööriist; keraamika; savinõu; kaevamine; arheoloogiline; kiviaeg; kultuur; narva; aivar; päästekaevamine
10,8,9,9,3,11,9,11,6,12,kriska; kivi; tööriist; keraamika; savinõu; kaevamine; arheoloogiline; kiviaeg; kultuur; narva; aivar; päästekaevamine
10,8,9,9,3,11,9,11,6,12,kriska; kivi; tööriist; keraamika; savinõu; kaevamine; arheoloogiline; kiviaeg; kultuur; narva; aivar; päästekaevamine
10,8,9,9,3,11,9,11,6,12,kriska; kivi; tööriist; keraamika; savinõu; kaevamine; arheoloogiline; kiviaeg; kultuur; narva; aivar; päästekaevamine
10,8,9,9,3,11,9,11,6,12,kriska; kivi; tööriist; keraamika; savinõu; kaevamine; arheoloogiline; kiviaeg; kultuur; narva; aivar; päästekaevamine
10,8,9,9,3,11,9,11,6,12,kriska; kivi; tööriist; keraamika; savinõu; kaevamine; arheoloogiline; kiviaeg; kultuur; narva; aivar; päästekaevamine
10,8,9,9,3,11,9,11,6,12,kriska; kivi; tööriist; keraamika; savinõu; kaevamine; arheoloogiline; kiviaeg; kultuur; narva; aivar; päästekaevamine
10,8,9,9,3,11,9,11,6,12,kriska; kivi; tööriist; keraamika; savinõu; kaevamine; arheoloogiline; kiviaeg; kultuur; narva; aivar; päästekaevamine
10,8,9,9,3,11,9,11,6,12,kriska; kivi; tööriist; keraamika; savinõu; kaevamine; arheoloogiline; kiviaeg; kultuur; narva; aivar; päästekaevamine
