EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,5,5,5,4,7,7,8,6,10,õigus; talu; vabadus; taluseadus; kolhoos; varandus; talupoeg; aktsia; kompensatsioon
8,5,5,5,4,7,7,8,6,10,õigus; talu; vabadus; taluseadus; kolhoos; varandus; talupoeg; aktsia; kompensatsioon
8,5,5,5,4,7,7,8,6,10,õigus; talu; vabadus; taluseadus; kolhoos; varandus; talupoeg; aktsia; kompensatsioon
8,5,5,5,4,7,7,8,6,10,õigus; talu; vabadus; taluseadus; kolhoos; varandus; talupoeg; aktsia; kompensatsioon
8,5,5,5,4,7,7,8,6,10,õigus; talu; vabadus; taluseadus; kolhoos; varandus; talupoeg; aktsia; kompensatsioon
8,5,5,5,4,7,7,8,6,10,õigus; talu; vabadus; taluseadus; kolhoos; varandus; talupoeg; aktsia; kompensatsioon
8,5,5,5,4,7,7,8,6,10,õigus; talu; vabadus; taluseadus; kolhoos; varandus; talupoeg; aktsia; kompensatsioon
8,5,5,5,4,7,7,8,6,10,õigus; talu; vabadus; taluseadus; kolhoos; varandus; talupoeg; aktsia; kompensatsioon
8,5,5,5,4,7,7,8,6,10,õigus; talu; vabadus; taluseadus; kolhoos; varandus; talupoeg; aktsia; kompensatsioon
8,5,5,5,4,7,7,8,6,10,õigus; talu; vabadus; taluseadus; kolhoos; varandus; talupoeg; aktsia; kompensatsioon
8,5,5,5,4,7,7,8,6,10,õigus; talu; vabadus; taluseadus; kolhoos; varandus; talupoeg; aktsia; kompensatsioon
