EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,8,7,4,5,8,6,8,10,15,lauk; vene; inimlik; sissov; urmas; autor; tõlge; jevgeni; kompleks; ülar; püüdlus; reaalsus; vadi
7,8,7,4,5,8,6,8,10,15,lauk; vene; inimlik; sissov; urmas; autor; tõlge; jevgeni; kompleks; ülar; püüdlus; reaalsus; vadi
7,8,7,4,5,8,6,8,10,15,lauk; vene; inimlik; sissov; urmas; autor; tõlge; jevgeni; kompleks; ülar; püüdlus; reaalsus; vadi
7,8,7,4,5,8,6,8,10,15,lauk; vene; inimlik; sissov; urmas; autor; tõlge; jevgeni; kompleks; ülar; püüdlus; reaalsus; vadi
7,8,7,4,5,8,6,8,10,15,lauk; vene; inimlik; sissov; urmas; autor; tõlge; jevgeni; kompleks; ülar; püüdlus; reaalsus; vadi
7,8,7,4,5,8,6,8,10,15,lauk; vene; inimlik; sissov; urmas; autor; tõlge; jevgeni; kompleks; ülar; püüdlus; reaalsus; vadi
8,8,7,4,5,8,6,8,10,15,lauk; vene; inimlik; sissov; urmas; autor; tõlge; jevgeni; kompleks; ülar; püüdlus; reaalsus; vadi
11,8,7,3,5,8,7,9,10,15,lauk; vene; inimlik; sissov; urmas; autor; tõlge; jevgeni; kompleks; ülar; püüdlus; reaalsus; vadi
11,8,7,8,5,8,8,9,10,15,lauk; vene; inimlik; sissov; urmas; autor; tõlge; jevgeni; kompleks; ülar; püüdlus; reaalsus; vadi
10,9,7,8,5,10,8,10,10,15,lauk; vene; inimlik; sissov; urmas; autor; tõlge; jevgeni; kompleks; ülar; püüdlus; reaalsus; vadi
9,8,7,8,5,9,8,10,10,15,lauk; vene; inimlik; sissov; urmas; autor; tõlge; jevgeni; kompleks; ülar; püüdlus; reaalsus; vadi
