EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,7,3,7,5,5,2,9,6,13,ema; leib; tomusk; ilmar; sool; märt; isik; martin; kõrvaline; isa; pius
7,7,3,7,5,5,2,9,6,13,ema; leib; tomusk; ilmar; sool; märt; isik; martin; kõrvaline; isa; pius
7,7,3,7,5,5,2,9,6,13,ema; leib; tomusk; ilmar; sool; märt; isik; martin; kõrvaline; isa; pius
7,7,3,7,5,5,2,9,6,13,ema; leib; tomusk; ilmar; sool; märt; isik; martin; kõrvaline; isa; pius
7,7,3,7,5,5,2,9,6,13,ema; leib; tomusk; ilmar; sool; märt; isik; martin; kõrvaline; isa; pius
7,7,3,7,5,5,2,10,6,13,ema; leib; tomusk; ilmar; sool; märt; isik; martin; kõrvaline; isa; pius
9,7,3,7,5,5,2,10,6,13,ema; leib; tomusk; ilmar; sool; märt; isik; martin; kõrvaline; isa; pius
11,7,3,7,7,7,5,11,6,13,ema; leib; tomusk; ilmar; sool; märt; isik; martin; kõrvaline; isa; pius
11,7,4,9,5,7,8,11,6,13,ema; leib; tomusk; ilmar; sool; märt; isik; martin; kõrvaline; isa; pius
10,7,4,11,7,8,8,11,6,13,ema; leib; tomusk; ilmar; sool; märt; isik; martin; kõrvaline; isa; pius
10,8,4,11,7,8,8,11,9,13,ema; leib; tomusk; ilmar; sool; märt; isik; martin; kõrvaline; isa; pius
