EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,6,5,5,2,5,4,5,3,10,valitsus; teadlane; akadeemia; õpe; tulemus; teadus
5,6,5,5,2,5,4,5,3,10,valitsus; teadlane; akadeemia; õpe; tulemus; teadus
5,6,5,5,2,5,4,5,3,10,valitsus; teadlane; akadeemia; õpe; tulemus; teadus
5,6,5,5,2,5,4,5,3,10,valitsus; teadlane; akadeemia; õpe; tulemus; teadus
5,6,5,5,2,5,4,5,3,10,valitsus; teadlane; akadeemia; õpe; tulemus; teadus
5,6,5,5,2,5,4,5,3,10,valitsus; teadlane; akadeemia; õpe; tulemus; teadus
5,6,5,5,2,5,4,5,3,10,valitsus; teadlane; akadeemia; õpe; tulemus; teadus
5,6,5,5,2,5,4,5,3,10,valitsus; teadlane; akadeemia; õpe; tulemus; teadus
5,6,5,5,2,5,4,5,3,10,valitsus; teadlane; akadeemia; õpe; tulemus; teadus
5,6,5,5,2,5,4,5,3,10,valitsus; teadlane; akadeemia; õpe; tulemus; teadus
5,6,5,5,2,5,6,5,3,10,valitsus; teadlane; akadeemia; õpe; tulemus; teadus
