EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,3,3,4,3,3,4,4,3,10,koit; valgusandja; faehlmann; hämarik; vanaisa
5,3,3,4,3,3,4,4,3,10,koit; valgusandja; faehlmann; hämarik; vanaisa
5,3,3,4,3,3,4,4,3,10,koit; valgusandja; faehlmann; hämarik; vanaisa
5,3,3,4,3,3,4,4,3,10,koit; valgusandja; faehlmann; hämarik; vanaisa
5,3,3,4,3,3,4,4,3,10,koit; valgusandja; faehlmann; hämarik; vanaisa
5,3,3,4,3,3,4,4,3,10,koit; valgusandja; faehlmann; hämarik; vanaisa
5,3,3,3,3,4,4,4,3,10,koit; valgusandja; faehlmann; hämarik; vanaisa
4,3,3,4,3,4,4,5,3,10,koit; valgusandja; faehlmann; hämarik; vanaisa
4,3,3,4,3,4,4,5,3,10,koit; valgusandja; faehlmann; hämarik; vanaisa
4,3,3,4,2,3,4,5,4,10,koit; valgusandja; faehlmann; hämarik; vanaisa
4,3,3,5,1,3,4,5,4,10,koit; valgusandja; faehlmann; hämarik; vanaisa
