EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,6,4,6,4,3,5,5,7,11,füüsika; elektron; laine; marek; telekas; analoogantenn; valgus; signaal
8,6,4,6,4,3,5,5,7,11,füüsika; elektron; laine; marek; telekas; analoogantenn; valgus; signaal
8,6,4,6,4,3,5,5,7,11,füüsika; elektron; laine; marek; telekas; analoogantenn; valgus; signaal
8,6,4,6,4,3,5,5,7,11,füüsika; elektron; laine; marek; telekas; analoogantenn; valgus; signaal
8,6,4,6,4,3,5,5,7,11,füüsika; elektron; laine; marek; telekas; analoogantenn; valgus; signaal
8,6,4,6,4,3,5,5,7,11,füüsika; elektron; laine; marek; telekas; analoogantenn; valgus; signaal
8,6,4,6,4,3,5,5,7,11,füüsika; elektron; laine; marek; telekas; analoogantenn; valgus; signaal
8,6,4,6,4,3,5,5,7,11,füüsika; elektron; laine; marek; telekas; analoogantenn; valgus; signaal
8,6,4,6,4,3,5,5,7,11,füüsika; elektron; laine; marek; telekas; analoogantenn; valgus; signaal
8,6,4,6,4,3,5,5,7,11,füüsika; elektron; laine; marek; telekas; analoogantenn; valgus; signaal
8,6,4,6,4,3,5,5,7,11,füüsika; elektron; laine; marek; telekas; analoogantenn; valgus; signaal
