EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,2,3,1,1,3,3,3,3,12,saal; peaminister; tulemus; akadeemia
1,2,3,1,1,3,3,3,3,12,saal; peaminister; tulemus; akadeemia
1,2,3,1,1,3,3,3,3,12,saal; peaminister; tulemus; akadeemia
1,2,3,1,1,3,3,3,3,12,saal; peaminister; tulemus; akadeemia
1,2,3,1,1,3,3,3,3,12,saal; peaminister; tulemus; akadeemia
1,2,3,1,1,3,3,3,3,12,saal; peaminister; tulemus; akadeemia
1,2,3,1,1,3,3,3,3,12,saal; peaminister; tulemus; akadeemia
1,2,3,1,1,3,3,3,3,12,saal; peaminister; tulemus; akadeemia
1,2,3,1,1,3,3,3,3,12,saal; peaminister; tulemus; akadeemia
1,2,3,1,1,3,3,4,2,12,saal; peaminister; tulemus; akadeemia
1,2,3,1,1,3,3,4,3,12,saal; peaminister; tulemus; akadeemia
