EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
0,3,2,0,1,2,4,2,0,11,raudtee; talent; näitleja; jaan; tädi
0,3,2,0,1,2,4,2,0,11,raudtee; talent; näitleja; jaan; tädi
0,3,2,0,1,2,4,2,0,11,raudtee; talent; näitleja; jaan; tädi
0,3,2,0,1,2,4,2,0,11,raudtee; talent; näitleja; jaan; tädi
0,3,2,0,1,2,4,2,0,11,raudtee; talent; näitleja; jaan; tädi
0,3,2,0,1,2,4,2,0,11,raudtee; talent; näitleja; jaan; tädi
0,3,2,0,1,2,4,2,0,11,raudtee; talent; näitleja; jaan; tädi
0,3,2,0,1,2,4,2,0,11,raudtee; talent; näitleja; jaan; tädi
0,3,2,0,1,2,4,2,0,11,raudtee; talent; näitleja; jaan; tädi
0,3,2,0,1,2,4,2,0,11,raudtee; talent; näitleja; jaan; tädi
0,3,2,0,1,2,4,2,0,11,raudtee; talent; näitleja; jaan; tädi
