EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
0,1,0,0,0,1,1,1,1,11,teater; kuuskemaa; perekond; estonia
0,1,0,0,0,1,1,1,1,11,teater; kuuskemaa; perekond; estonia
0,1,0,0,0,1,1,1,1,11,teater; kuuskemaa; perekond; estonia
0,1,0,0,0,1,1,1,1,11,teater; kuuskemaa; perekond; estonia
0,1,0,0,0,1,2,1,1,11,teater; kuuskemaa; perekond; estonia
0,1,0,0,0,1,1,1,1,11,teater; kuuskemaa; perekond; estonia
0,1,0,0,0,1,0,1,1,11,teater; kuuskemaa; perekond; estonia
0,1,0,0,0,1,0,1,1,11,teater; kuuskemaa; perekond; estonia
1,1,0,0,0,1,0,1,0,11,teater; kuuskemaa; perekond; estonia
1,1,0,0,0,1,0,1,1,11,kuuskemaa; perekond; estonia; teater
1,1,0,0,0,1,0,1,1,11,kuuskemaa; perekond; estonia; teater
