EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,3,3,1,0,3,4,5,2,12,kultuuripäevad; vanemuise; vilimaa; tšehhoslovakkia; ülo; teatritrupp
3,3,3,1,0,3,4,5,2,12,kultuuripäevad; vanemuise; vilimaa; tšehhoslovakkia; ülo; teatritrupp
3,3,3,1,0,3,4,5,2,12,kultuuripäevad; vanemuise; vilimaa; tšehhoslovakkia; ülo; teatritrupp
3,3,3,1,0,3,4,5,2,12,kultuuripäevad; vanemuise; vilimaa; tšehhoslovakkia; ülo; teatritrupp
3,3,3,1,0,3,4,5,2,12,kultuuripäevad; vanemuise; vilimaa; tšehhoslovakkia; ülo; teatritrupp
3,3,3,1,0,3,4,5,2,12,kultuuripäevad; vanemuise; vilimaa; tšehhoslovakkia; ülo; teatritrupp
3,3,3,1,0,3,4,5,2,12,kultuuripäevad; vanemuise; vilimaa; tšehhoslovakkia; ülo; teatritrupp
3,3,3,1,0,3,4,5,2,12,kultuuripäevad; vanemuise; vilimaa; tšehhoslovakkia; ülo; teatritrupp
3,3,3,1,0,3,3,5,2,12,kultuuripäevad; vilimaa; vanemuise; tšehhoslovakkia; ülo; teatritrupp
3,2,3,1,0,3,4,5,2,12,kultuuripäevad; vanemuise; vilimaa; tšehhoslovakkia; ülo; teatritrupp
2,2,2,1,0,3,3,5,1,12,kultuuripäevad; vilimaa; vanemuise; tšehhoslovakkia; ülo; teatritrupp
