EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,4,2,4,3,2,4,4,0,13,johan; isa; torm; ütlemata; ema; kon-tiki
4,4,2,4,3,2,4,4,0,13,johan; isa; torm; ütlemata; ema; kon-tiki
4,4,2,4,3,2,4,4,0,13,johan; isa; torm; ütlemata; ema; kon-tiki
4,4,2,4,3,2,4,4,0,13,johan; isa; torm; ütlemata; ema; kon-tiki
4,4,2,4,3,2,4,4,0,13,johan; isa; torm; ütlemata; ema; kon-tiki
4,4,2,4,3,2,4,4,0,13,johan; isa; torm; ütlemata; ema; kon-tiki
4,4,2,4,3,4,5,4,0,13,johan; isa; torm; ütlemata; ema; kon-tiki
4,4,2,3,3,4,5,4,0,13,johan; isa; torm; ütlemata; ema; kon-tiki
2,4,2,4,3,4,5,4,0,13,johan; isa; torm; ütlemata; ema; kon-tiki
2,4,2,4,4,4,5,4,0,13,johan; isa; torm; ütlemata; ema; kon-tiki
2,5,3,3,3,2,5,4,0,13,johan; isa; torm; ütlemata; ema; kon-tiki
