EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,1,1,1,2,3,2,3,2,10,kogudus; orel; sünnipäev
1,1,1,1,2,3,2,3,2,10,kogudus; orel; sünnipäev
1,1,1,1,2,3,2,3,2,10,kogudus; orel; sünnipäev
1,1,1,1,2,3,2,3,2,10,kogudus; orel; sünnipäev
1,1,1,1,2,3,2,3,2,10,kogudus; orel; sünnipäev
1,1,1,1,2,3,2,3,2,10,kogudus; orel; sünnipäev
1,1,1,1,2,3,2,3,2,10,kogudus; orel; sünnipäev
1,1,1,1,2,3,2,3,2,10,kogudus; orel; sünnipäev
1,1,1,1,2,3,2,3,2,10,kogudus; orel; sünnipäev
1,1,1,1,2,3,2,3,2,10,kogudus; orel; sünnipäev
1,1,1,1,2,3,2,3,2,10,kogudus; orel; sünnipäev
