EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,6,4,7,4,5,5,6,0,11,füüsika; elektron; laine; marek; telekas; analoogantenn; valgus; signaal
7,6,4,7,4,5,5,6,0,11,füüsika; elektron; laine; marek; telekas; analoogantenn; valgus; signaal
7,6,4,7,4,5,6,6,0,11,füüsika; elektron; laine; marek; telekas; analoogantenn; valgus; signaal
7,6,4,7,4,5,5,6,0,11,füüsika; elektron; laine; marek; telekas; analoogantenn; valgus; signaal
7,6,4,7,4,5,6,6,0,11,füüsika; elektron; laine; marek; telekas; analoogantenn; valgus; signaal
7,6,4,7,4,5,6,6,0,11,füüsika; elektron; laine; marek; telekas; analoogantenn; valgus; signaal
7,6,4,7,4,5,5,6,0,11,füüsika; elektron; laine; marek; telekas; analoogantenn; valgus; signaal
7,6,4,7,4,5,5,6,0,11,füüsika; elektron; laine; marek; telekas; analoogantenn; valgus; signaal
7,6,4,7,4,5,5,6,0,11,füüsika; elektron; laine; marek; telekas; analoogantenn; valgus; signaal
7,6,4,7,4,5,5,6,0,11,füüsika; elektron; laine; marek; telekas; analoogantenn; valgus; signaal
7,6,4,7,4,5,5,6,0,11,füüsika; elektron; laine; marek; telekas; analoogantenn; valgus; signaal
