EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,0,2,1,0,4,5,2,1,15,periood; eesti; jagamine; liit; euroopa
2,1,2,1,0,4,5,2,1,15,periood; eesti; jagamine; liit; euroopa
2,1,2,1,0,4,5,2,1,15,periood; eesti; jagamine; liit; euroopa
2,1,2,1,0,4,5,2,1,15,periood; eesti; jagamine; liit; euroopa
2,1,2,1,0,4,5,2,1,15,periood; eesti; jagamine; liit; euroopa
2,1,2,1,0,4,4,2,1,15,periood; jagamine; liit; eesti; euroopa
3,2,1,1,0,4,3,2,1,15,periood; jagamine; liit; eesti; euroopa
1,2,3,2,0,3,4,2,1,15,periood; jagamine; liit; eesti; euroopa
1,2,1,3,0,3,4,2,1,15,periood; jagamine; liit; eesti; euroopa
2,3,4,4,0,4,4,2,1,15,periood; eesti; jagamine; liit; euroopa
3,3,3,4,0,3,3,2,2,15,periood; eesti; jagamine; liit; euroopa
