EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
11,10,9,8,7,5,9,8,7,20,johannes; jumal; patriarh; troon; kolmas; kiri; gregorius; efesos; sostumus; basiilika; kristus; sõnum; peetrus; luterlik
11,10,9,8,7,5,9,8,7,20,johannes; jumal; patriarh; troon; kolmas; kiri; gregorius; efesos; sostumus; basiilika; kristus; sõnum; peetrus; luterlik
11,10,9,8,7,5,9,8,7,20,johannes; jumal; patriarh; troon; kolmas; kiri; gregorius; efesos; sostumus; basiilika; kristus; sõnum; peetrus; luterlik
11,10,9,8,7,5,9,8,7,20,johannes; jumal; patriarh; troon; kolmas; kiri; gregorius; efesos; sostumus; basiilika; kristus; sõnum; peetrus; luterlik
11,10,9,8,7,5,9,8,7,20,johannes; jumal; patriarh; troon; kolmas; kiri; gregorius; efesos; sostumus; basiilika; kristus; sõnum; peetrus; luterlik
11,10,10,8,7,5,9,8,7,20,johannes; jumal; patriarh; troon; kolmas; kiri; gregorius; efesos; sostumus; basiilika; kristus; sõnum; peetrus; luterlik
11,10,10,8,7,5,9,9,7,20,johannes; jumal; patriarh; troon; kolmas; kiri; gregorius; efesos; sostumus; basiilika; kristus; sõnum; peetrus; luterlik
11,10,9,9,7,6,9,10,7,20,johannes; jumal; patriarh; troon; kolmas; kiri; gregorius; efesos; sostumus; basiilika; kristus; sõnum; peetrus; luterlik
11,10,9,9,7,8,10,11,8,20,johannes; jumal; patriarh; troon; kolmas; kiri; gregorius; efesos; sostumus; basiilika; kristus; sõnum; peetrus; luterlik
11,10,9,9,7,9,10,11,8,20,johannes; jumal; patriarh; troon; kolmas; kiri; gregorius; efesos; sostumus; basiilika; kristus; sõnum; peetrus; luterlik
11,10,10,8,8,11,10,11,8,20,johannes; jumal; patriarh; troon; kolmas; kiri; gregorius; efesos; sostumus; basiilika; kristus; sõnum; peetrus; luterlik
